Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _BKCBODY:,О, Об'єкт **BKCBODY**,
R01G1S,О,String,марка автомобіля
R01G2S,О,String,реєстраційний номер автомобіля
R01G3S,О,String,тип автомобіля
R01G11S,Н,String,модель автомобіля
R01G4S,О/Н,String,марка причіпа/напівпричіпа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G5S,О/Н,String,реєстраційний номер причепа/напівпричепа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G12S,О/Н,String,модель причепа/напівпричепа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G6S,О/Н,String,тип причепа/напівпричепа. Поле обов’язково заповнюється за наявності причіпа/напівпричіпа
R01G7S,О/Н,String,марка 2-го причіпа/напівпричіпа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R01G8S,О/Н,String,реєстраційний номер 2-го причепа/напівпричепа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R01G9S,О/Н,String,тип 2-го причепа/напівпричепа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R01G13S,О/Н,String,модель 2-го причепа/напівпричепа. Поле обов’язково заповнюється за наявності 2-го причіпа/напівпричіпа
R02G3S,О,String,ПІП водія
R02G4S,О,String,"серія, номер посвідчення водія"
R02G5S,О,String,телефон водія
HNUM,О,String,номер документа
HFILL,О,String (YYYY-MM-DD),дата документа
R01G10S,О,String,"вид перевезень; доступні значення:
- покілометровий тариф
- погодинний тариф
- відрядний тариф
- централізоване перевезення
- внутрішньоміське
- приміське
- міжміське
- міжнародне перевезення"
R02G11S,О,long,ідентифікаційний код (ЄДРПОУ для юр. осіб чи ІНН для фіз. осіб) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G12S,Н,String,адреса автомобільного перевізника
R02G21S,О,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,О,String,найменування замовника
R02G22S,Н,String,адреса замовника
HTIN,О,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,О,String,повне найменування вантажовідправника
HLOC,О,String,місцезнаходження вантажовідправника
R03G10S,О,String,номер договору
R03G11S,О,String,дата договору
R04G1S,О,double,маса брутто; кг
R05G1S,Н,String,температурні вимоги 
R06G1S,Н,double,кількість місць
R07G1S,Н,String,необхідний вид транспорту
R08G1S,О/Н,String(формат 0.00),вартість перевезення без ПДВ; поле обов'язкове до заповнення при R08G14S=fixed
R08G12S,Н,String,"ставка ПДВ; допустимі значення:

* 0
* 7
* 20"
R08G13S,О/Н,String(формат 0.00),вартість перевезення з ПДВ; поле обов'язкове до заповнення при R08G14S=fixed
R08G14S,Н,String,"спосіб тарифікації; допустимі значення:

* fixed
* distance
* weight"
R09G1S,О/Н,double,кілометраж; поле обов'язкове при R08G14S=distance
R010G1S,Н,String,найменування вантажу (тут враховується загальний характер вантажу)
R011G1S,Н,String,додаткова інформація
T4RXXXXG11S,О,List<RXXType_>,масив; таблична частина: ідентифікаційний код (ЄДРПОУ) вантажоодержувача
T4RXXXXG12S,О,List<RXXType_>,масив; таблична частина: найменування вантажоодержувача
T4RXXXXG13S,О,List<RXXType_>,масив; таблична частина: адреса вантажоодержувача
T4RXXXXG21S,О,List<RXXType_>,масив; таблична частина: адреса пункту навантаження
T4RXXXXG22S,О,List<RXXType_>,масив; таблична частина: код пункту навантаження за КОАТУУ
T4RXXXXG23S,О,List<RXXType_>,масив; таблична частина: дата навантаження
T4RXXXXG24S,О,List<RXXType_>,масив; таблична частина: час навантаження
T4RXXXXG25S,Н,List<RXXType_>,масив; таблична частина: контактна особа для навантаження
T4RXXXXG26S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для навантаження
T4RXXXXG31S,О,List<RXXType_>,масив; таблична частина: адреса пункту розвантаження
T4RXXXXG32S,О,List<RXXType_>,масив; таблична частина: код пункту розвантаження за КОАТУУ
T4RXXXXG33S,О,List<RXXType_>,масив; таблична частина: дата розвантаження
T4RXXXXG34S,О,List<RXXType_>,масив; таблична частина: час розвантаження
T4RXXXXG35S,Н,List<RXXType_>,масив; таблична частина: контактна особа для розвантаження
T4RXXXXG36S,Н,List<RXXType_>,масив; таблична частина: контактний телефон для розвантаження
