Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _CMBODY:,О, Об'єкт **CMBODY**,
HNUM,О,String,номер документа
HFILL,О,String,дата документа
HPLACE,Н,String,місце складання
HPODNUM,О,String,номер договору (документа-підстави)
HPODFILL,О,String,дата договору (документа-підстави)
HTIN,О,String,ідентифікаційний код (ЄДРПОУ) вантажовідправника (покупця)
HNAME,О,String,повне найменування вантажовідправника (покупця)
HLOC,О,String,місцезнаходження вантажовідправника (покупця)
R02G11S,О,String,ідентифікаційний код (ЄДРПОУ) автомобільного перевізника
R02G1S,О,String,найменування автомобільного перевізника
R02G12S,Н,String,місцезнаходження автомобільного перевізника
R001G12,О,double,усього відпущено на загальну суму з урахуванням ПДВ
R011G1,О,double,сума ПДВ
T3RXXXXG11S,О,List<RXXType>,масив; таблична частина: назва послуги
T3RXXXXG12,О,List<RXXType>,масив; таблична частина: кількість
T3RXXXXG13S,О,List<RXXType>,масив; таблична частина: одиниці виміру
T3RXXXXG21S,О,List<RXXType>,масив; таблична частина: номер документа-підстави (ТТН)
T3RXXXXG22S,О,List<RXXType>,масив; таблична частина: дата документа-підстави (ТТН)
T3RXXXXG3,О,List<RXXType>,масив; таблична частина: ціна без ПДВ
T3RXXXXG4,О,List<RXXType>,масив; таблична частина: ставка ПДВ (0/7/20)
T3RXXXXG5,Н,List<RXXType>,масив; таблична частина: ціна з ПДВ
T3RXXXXG6,Н,List<RXXType>,масив; додаткова інформація
