Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _DBODY:,, Об'єкт **DBODY**,
TYPE,О,«CORE»,тип документа (Основа)
STAKE,О,«ORIGINATOR»,"учасник-підписант (Вантажоотримувач)"
HNUM,О,String,номер Акта розбіжностей
HFILL,О,date(YYYY-MM-DD),дата Акта розбіжностей
BASE_HNUM,О,String,номер документа-підстави (ТТН)
BASE_HFILL,О,date(YYYY-MM-DD),дата документа-підстави (ТТН)
UUID_TTN,О,UUID,унікальний ідентифікатор ТТН
DOCUMENT_PLACE,О,String,Місце складання
R04G1S,О,String,Ідентифікаційний код Вантажоодержувача (ЄДРПОУ/ІПН)
R04G2S,О,String,Повне найменування Вантажоодержувача
R04G3S,О,String,"Місцезнаходження Вантажоодержувача (Місто, Адреса)"
R02G11S,О,String,Ідентифікаційний код Автомобільного перевізника (ЄДРПОУ/ІПН)
R02G1S,О,String,Повне найменування / ПІБ Автомобільного перевізника
R02G3S,О,String,Прізвище Водія
R02G31S,О,String,Ім'я Водія
R02G32S,О,String,По батькові Водія
R02G4S,О,String,Номер посвідчення Водія
HTIN,О,String,Ідентифікаційний код Вантажовідправника (ЄДРПОУ/ІПН)
HNAME,О,String,Повне найменування Вантажовідправника
HLOC,О,String,Місцезнаходження Вантажовідправника
SEAL_NO,Н,String,Номер пломби згідно ТТН
SEAL_NO_DAMAGE,Н,String,Відомості про пошкодження пломби
TEMPERATURE,Н,String,Температурний режим згідно ТТН
TEMPERATURE_MISMATCH,Н,String,Відомості про недотримання температурного режиму
PACKAGE_DAMAGE,Н,String,Відомості про пошкодження тари
OTHER_MISMATCH,Н,String,Відомості про інші розбіжності
T1RXXXXG81S,О,List<RXXType_>,масив; таблична частина: найменування вантажу (номер контейнера) згідно ТТН
T1RXXXXG9S,О,List<RXXType_>,масив; таблична частина: одиниця виміру
T1RXXXXG10,Н,List<RXXType_>,масив; таблична частина: кількість місць згідно ТТН
CARGO_NUMBER_PLACES_FACT,Н,List<RXXType_>,масив; таблична частина: кількість місць фактична
CARGO_NUMBER_PLACES_MISMATCH,Н,List<RXXType_>,масив; таблична частина: кількість місць - відхилення
CARGO_NUMBER_PLACES_REASON,Н,List<RXXType_>,масив; таблична частина: кількість місць - причина відхилення
T1RXXXXG15,О,List<RXXType_>,"масив; таблична частина: маса брутто згідно ТТН, кг"
CARGO_GROSS_WEIGHT_FACT,Н,List<RXXType_>,"масив; таблична частина: маса брутто фактична, кг"
CARGO_GROSS_WEIGHT_MISMATCH,Н,List<RXXType_>,"масив; таблична частина: маса брутто - відхилення, кг"
CARGO_GROSS_WEIGHT_REASON,Н,List<RXXType_>,"масив; таблична частина: маса брутто - причина відхилення"
T1RXXXXG12,Н,List<RXXType_>,"масив; таблична частина: загальна сума з ПДВ, грн"
CARGO_SUM_FACT,Н,List<RXXType_>,"масив; таблична частина: загальна сума з ПДВ фактична, грн"
CARGO_SUM_MISMATCH,Н,List<RXXType_>,"масив; таблична частина: загальна сума з ПДВ - відхилення, грн"
CARGO_SUM_REASON,Н,List<RXXType_>,"масив; таблична частина: загальна сума з ПДВ - причина відхилення"
CARGO_OTHER_MISMATCH,Н,List<RXXType_>,"масив; таблична частина: інші зауваження/відхилення"
CARGO_TOTAL_GROSS_WEIGHT,О,String,"Всього: маса брутто згідно ТТН, кг"
CARGO_TOTAL_GROSS_WEIGHT_MISMATCH,О,String,"Всього: маса брутто - відхилення, кг"
CARGO_TOTAL_SUM,О,String,"Всього: загальна сума з ПДВ, грн"
CARGO_TOTAL_SUM_MISMATCH,О,String,"Всього: загальна сума з ПДВ - відхилення, грн"
DISAGREEMENT_INFORMATION,О,String,Опис причини складання акта розбіжностей
DISAGREEMENT_CONCLUSION,О,String,Висновки (вимоги по рішенню неузгодженості)
