Параметр,Обов'язкове / Необов'язкове поле, Формат, Опис
.. _ETTN_BODY:,О, Об'єкт **ETTN_BODY**,
TYPE,О,«CORE»,Тип документа (Основа)
STAKE,Н,«ORIGINATOR»,Учасник-підписант (Вантажовідправник)
HFILL,Н,String,Дата товарно-транспортної накладної
HNUM,Н,String,Номер товарно-транспортної накладної
DOCUMENT_PLACE,Н,String,Місце складання
R01G1S,Н,String,Марка автомобіля
R01G11S,Н,String,Модель автомобіля
R01G2S,Н,String,Реєстраційний номер автомобіля
R01G3S,Н,String,Тип автомобіля
R01G4S,Н,String,Марка причіпа/напівпричіпа
R01G12S,Н,String,Модель причіпа/напівпричіпа
R01G5S,Н,String,Реєстраційний номер причіпа/напівпричіпа
R01G6S,Н,String,Тип причіпа/напівпричіпа
R01G7S,Н,String,Марка причіпа/напівпричіпа 2
R01G13S,Н,String,Модель причіпа/напівпричіпа 2
R01G8S,Н,String,Реєстраційний номер причіпа/напівпричіпа 2
R01G9S,Н,String,Тип причіпа/напівпричіпа 2
R01G10S,Н,String,Вид перевезень
R02G11S,Н,String,Ідентифікаційний код Автомобільного перевізника
R02G1S,Н,String,Повне найменування / ПІБ Автомобільного перевізника
R02G21S,Н,String,Ідентифікаційний код Замовника
R02G2S,Н,String,Повне найменування / ПІБ Замовника
R02G3S,Н,String,Прізвище Водія
R02G31S,Н,String,Ім'я Водія
R02G32S,Н,String,По батькові Водія
R02G4S,Н,String,Номер посвідчення Водія
HTIN,Н,String,Ідентифікаційний код Вантажовідправника
HNAME,Н,String,Повне найменування Вантажовідправника
HLOC,Н,String,Місцезнаходження Вантажовідправника
R04G1S,Н,String,Ідентифікаційний код Вантажоодержувача
R04G2S,Н,String,Повне найменування Вантажоодержувача
R04G3S,Н,String,Місцезнаходження Вантажоодержувача
R05G21,Н,String,Код КОАТУУ пункту навантаження
R05G2S,Н,String,Місцезнаходження пункту навантаження
R05G41,Н,String,Код КОАТУУ пункту розвантаження
R05G4S,Н,String,Місцезнаходження пункту розвантаження
R012G3S,Н,String,Кількість місць (словами)
R013G1,Н,double,"Маса брутто, т (цифрами)"
R013G2S,Н,String,"Маса брутто, т (словами)"
R010G3S,Н,String,"Усього відпущено на загальну суму(словами, з урахуванням ПДВ)"
R011G1,Н,double,У тому числі ПДВ
R014G1S,Н,String,Супровідні документи на вантаж
SEAL_NO,Н,String,Номер пломби
TEMPERATURE,Н,String,Температурний режим
T1RXXXXG81S,Н,List<RXXType_>,масив; таблична частина: найменування вантажу (номер контейнера)
T1RXXXXG82,Н,List<RXXType_>,масив; таблична частина: клас небезпечних речовин
T1RXXXXG9S,Н,List<RXXType_>,масив; таблична частина: одиниця виміру
T1RXXXXG10,Н,List<RXXType_>,масив; таблична частина: кількість місць
T1RXXXXG11,Н,List<RXXType_>,"масив; таблична частина: ціна без ПДВ за одиницю, грн"
T1RXXXXG12,Н,List<RXXType_>,"масив; таблична частина: загальна сума з ПДВ, грн"
T1RXXXXG13S,Н,List<RXXType_>,масив; таблична частина: вид пакування
T1RXXXXG14S,Н,List<RXXType_>,масив; таблична частина: документи з вантажем
T1RXXXXG15,Н,List<RXXType_>,"масив; таблична частина: маса брутто, т"
R001G10,Н,double,Усього кількість місць
R001G12,Н,double,"Усього загальна сума з ПДВ, грн"
R08G2,Н,double,"Маса брутто, т в пункті навантаження"
DATE_ARRIVAL_LOAD,Н,String,Дата прибуття
R08G31,Н,int,"Час прибуття, (год)"
R08G32,Н,int,"Час прибуття, (хв)"
DATE_DEPARTURE_LOAD,Н,String,Дата вибуття
R08G41,Н,int,"Час вибуття, (год)"
R08G42,Н,int,"Час вибуття, (хв)"
R08G51,Н,int,"Час простою, (год)"
R08G52,Н,int,"Час простою, (хв)"
R017G11S,Н,String,Посада відповідальної особи Вантажовідпраника
R017G1S,Н,String,П.І.Б. відповідальної особи Вантажовідпраника
DECLARBODY_ORIGINATOR_SECURITY,Н,DECLAR_SECURITY_,"Прізвище, ім'я, по батькові представника Замовника та документ, згідно з яким він уповноважений супроводжувати вантаж, який підлягає спеціальній охороні"
