Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _RTRANSPORT:,, Об'єкт **RTRANSPORT**,
R01G1S,О,String,марка автомобіля
R01G11S,Н,String,модель автомобіля
R01G2S,О,String,реєстраційний номер автомобіля
R01G3S,О,String,тип автомобіля
R01G4S,Н,String,марка причіп/напівпричіп
R01G12S,Н,String,модель причіп/напівпричіп
R01G5S,Н,String,реєстраційний номер причіп/напівпричіп
R01G6S,Н,String,тип автомобіля причіп/напівпричіп
R01G7S,Н,String,марка причіп/напівпричіп 2
R01G13S,Н,String,модель причіп/напівпричіп 2
R01G8S,Н,String,реєстраційний номер причіп/напівпричіп 2
R01G9S,Н,String,тип автомобіля причіп/напівпричіп 2
R02G11S,О,String,"ідентифікаційний код Перевізника (ЄДРПОУ юридичної особи або ІПН фізичної-особи підприємця), який здав вантаж"
R02G1S,О,String,"повне найменування Перевізника (найменування юридичної особи або ПІБ фізичної-особи підприємця), який здав вантаж"
R02G3S,О,String,"прізвище водія/експедитора, який здав вантаж"
R02G31S,О,String,"ім'я водія/експедитора, який здав вантаж"
R02G32S,О,String,"по батькові водія/експедитора, який здав вантаж"
R02G4S,О,String,"серія та номер посвідчення водія/експедитора, який здав вантаж"
SEAL_NO,Н,String,номер пломби
