Назва поля,Тип [1]_,Формат,Опис
**UAECMR_ACT**,M,,(початок документа)
**ACT**,M,,(початок змісту документа)
**ExchangedDocumentContext**,M,,Технічні дані (початок блоку)
ram:SpecifiedTransactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,"параметр контексту документа, визначений бізнес-процесом (початок блоку)"
ram:ID,M,string,код документа
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,"параметр контексту документа, визначений бізнес-процесом (закінчення блоку)"
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,"параметр контексту визначеного документа (початок блоку)"
ram:ID,M,unsignedByte,підтип документа (Акт коригування)
**ram:GuidelineSpecifiedDocumentContextParameter**,,,"параметр контексту визначеного документа (закінчення блоку)"
**ExchangedDocumentContext**,,,Технічні дані (закінчення блоку)
**ExchangedDocument**,M,,Реквізити Акта (початок блоку)
ram:ID,M,string,номер документа
**ram:IssueDateTime**,M,,Дата і час складання документа (початок блоку)
**udt:DateTime**,,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата і час складання Акта
**ram:IssueDateTime**,,,Дата і час складання документа (закінчення блоку)
ram:Remarks,O,string,Інші примітки
**ram:IssueLogisticsLocation**,M,,Місце складання документа (початок блоку)
ram:Name,M,string,Найменування місця складання Акта
ram:Description,M,string,Опис (адреса) місця складання Акта
**ram:IssueLogisticsLocation**,,,Місце складання документа (закінчення блоку)
**ExchangedDocument**,,,Реквізити Акта (закінчення блоку)
**AdjustmentActPayload**,M,,Інформація про Акт (початок блоку)
**PreviousAdministrativeReferencedDocument**,M,,"Інформація про е-ТТН, для якої складається акт (початок блоку)"
ram:TypeCode,M,string,Тип документа (730 - ТТН). `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string,Номер документа-підстави (ТТН); має відповідати номеру документа ExchangedDocument.ID еТТН
**ram:FormattedIssueDateTime**,M,,Дата документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН (початок блоку)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час документа-підстави (ТТН)
**ram:FormattedIssueDateTime**,,,Дата документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН (закінчення блоку)
**ram:AttachedSpecifiedBinaryFile**,M,,"Дані е-ТТН, для якої складається акт (початок блоку)"
ram:ID,M,string,Ідентифікатор (guid) документа-підстави (ТТН); має відповідати document.id еТТН в ЦБД (значення **ettnId** з методу `Отримання списку подій з ЦБД  <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = значення **external_doc_id** `Отримання мета-даних документа <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
ram:URIID,O,string,посилання на документ
ram:MIMECode,O,string,`MIME типізація <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
ram:SizeMeasure,O,long,розмір файлу в байтах
**ram:AttachedSpecifiedBinaryFile**,,,"Дані е-ТТН, для якої складається акт (закінчення блоку)"
**PreviousAdministrativeReferencedDocument**,,,"Інформація про е-ТТН, для якої складається акт (закінчення блоку)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Інформація про попередній акт, у випадку наступної транзакції (початок блоку)"
ram:TypeCode,M,string,Тип документа. `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string,Номер документа-підстави (Акт); має відповідати номеру документа ExchangedDocument.ID Акта
**ram:FormattedIssueDateTime**,M,,Дата документа-підстави (Акт); має відповідати даті документа ExchangedDocument.IssueDateTime Акта (початок блоку)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час документа-підстави (Акта)
**ram:FormattedIssueDateTime**,,,Дата документа-підстави (Акта); має відповідати даті документа ExchangedDocument.IssueDateTime Акта (закінчення блоку)
**PreviousAdministrativeReferencedDocument**,,,"Інформація про попередній акт, у випадку наступної транзакції (закінчення блоку)"
**InitiatorTradeParty**,M,,"Ініціатор акта (Замовник) (початок блоку). Тут наведено приклад, коли ініціатором Акта є Замовник (який не є ні Вантажовідправником, ні Вантажоодержувачем) -  в документа буде чотири сторони-підписувачі: Замовник, Вантажовідправник, Перевізник та Вантажоодержувач"
**ram:ID**,M,,"Ідентифікаційний код Замовника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Замовника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Замовника"
ram:RoleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,GLN Замовника (початок блоку)
ram:ID,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN Замовника (закінчення блоку)
**InitiatorTradeParty**,,,"Ініціатор акта (Замовник) (закінчення блоку). Тут наведено приклад, коли ініціатором Акта є Замовник (який не є ні Вантажовідправником, ні Вантажоодержувачем) -  в документа буде чотири сторони-підписувачі: Замовник, Вантажовідправник, Перевізник та Вантажоодержувач"
**ConsignorTradeParty**,M,,"Вантажовідправник (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Вантажовідправника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Вантажовідправника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Вантажовідправника"
ram:RoleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,GLN Вантажовідправника (початок блоку)
ram:ID,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN Вантажовідправника (закінчення блоку)
**ConsignorTradeParty**,,,"Вантажовідправник (закінчення блоку)"
**CarrierTradeParty**,M,,"Перевізник (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Перевізника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Перевізника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Перевізника"
ram:RoleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника (початок блоку)
ram:ID,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для ram:TypeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для ram:TypeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,Посвідчення Водія / GLN Водія / GLN компанії-учасника (закінчення блоку)
**CarrierTradeParty**,,,"Перевізник (закінчення блоку)"
**ConsigneeTradeParty**,O,,"Вантажоодержувач (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Вантажоодержувача (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Вантажоодержувача (закінчення блоку)"
ram:Name,M,string,"Повне найменування Вантажоодержувача"
ram:RoleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,GLN Вантажоодержувача (початок блоку)
ram:ID,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN Вантажоодержувача (закінчення блоку)
**ConsigneeTradeParty**,,,"Вантажоодержувач (закінчення блоку)"
**AdjustedSupplyChainConsignment**,M,,"Таблиця коригувань (початок блоку)"
**ram:ConsignorTradeParty**,O,,Вантажовідправник (початок блоку)
ram:Name,M,string,"Повне найменування Вантажовідправника (юридичної особи або ПІБ фізичної-особи підприємця), що проводить відвантаження (списання) перелічених в ТТН товарно-матеріальних цінностей"
**ram:DefinedTradeContact**,O,,Контакти відповідального представника (початок блоку)
ram:PersonName,O,string,ПІБ
**ram:TelephoneUniversalCommunication**,O,,Основний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:TelephoneUniversalCommunication**,,,Основний телефон (закінчення блоку)
**ram:MobileTelephoneUniversalCommunication**,O,,Мобільний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:MobileTelephoneUniversalCommunication**,,,Мобільний телефон (закінчення блоку)
**ram:EmailURIUniversalCommunication**,O,,Електронна адреса (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:EmailURIUniversalCommunication**,,,Електронна адреса (закінчення блоку)
**ram:DefinedTradeContact**,,,Контакти відповідального представника (закінчення блоку)
**ram:PostalTradeAddress**,M,,Юридична адреса Вантажовідправника (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця) (початок блоку)
ram:PostcodeCode,O,string,Індекс
ram:StreetName,M,string,Адреса (назва вулиці + номер будівлі)
ram:CityName,M,string,Місто (назва населеного пункту)
ram:CountryID,M,string,Країна (UA)
ram:CountrySubDivisionName,O,string,Область та район (за наявності)
**ram:PostalTradeAddress**,,,Юридична адреса Вантажовідправника (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця) (закінчення блоку)
**ram:SpecifiedGovernmentRegistration**,M,,GLN Вантажовідправника (початок блоку)
ram:ID,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN Вантажовідправника (закінчення блоку)
**ram:ConsignorTradeParty**,,,Вантажовідправник (закінчення блоку)
**ram:ConsigneeTradeParty**,O,,Вантажоодержувач (початок блоку)
ram:Name,M,string,"Повне найменування Вантажоодержувача (юридичної особи або ПІБ фізичної-особи підприємця), що проводить одержання (оприбуткування) перелічених в ТТН товарно-матеріальних цінностей"
**ram:DefinedTradeContact**,O,,Контакти відповідального представника (початок блоку)
ram:PersonName,O,string,ПІБ
**ram:TelephoneUniversalCommunication**,O,,Основний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:TelephoneUniversalCommunication**,,,Основний телефон (закінчення блоку)
**ram:MobileTelephoneUniversalCommunication**,O,,Мобільний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:MobileTelephoneUniversalCommunication**,,,Мобільний телефон (закінчення блоку)
**ram:EmailURIUniversalCommunication**,O,,Електронна адреса (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:EmailURIUniversalCommunication**,,,Електронна адреса (закінчення блоку)
**ram:DefinedTradeContact**,,,Контакти відповідального представника (закінчення блоку)
**ram:PostalTradeAddress**,O,,Юридична адреса Вантажоодержувача (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця) (початок блоку)
ram:PostcodeCode,O,string,Індекс
ram:StreetName,M,string,Адреса (назва вулиці + номер будівлі)
ram:CityName,M,string,Місто (назва населеного пункту)
ram:CountryID,M,string,Країна (UA)
ram:CountrySubDivisionName,O,string,Область та район (за наявності)
**ram:PostalTradeAddress**,,,Юридична адреса Вантажоодержувача (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця) (закінчення блоку)
**ram:SpecifiedGovernmentRegistration**,M,,GLN Вантажоодержувача (початок блоку)
ram:ID,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
ram:TypeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN Вантажоодержувача (закінчення блоку)
**ram:ConsigneeTradeParty**,,,Вантажоодержувач (закінчення блоку)
**ram:CarrierTradeParty**,O,,Перевізник (початок блоку)
ram:Name,M,string,"Повне найменування Перевізника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг"
**ram:DefinedTradeContact**,O,,Контакти відповідального представника (початок блоку)
ram:PersonName,M,string,"ПІБ водія, що керуватиме ТЗ при перевезенні вантажу"
**ram:TelephoneUniversalCommunication**,O,,Основний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:TelephoneUniversalCommunication**,,,Основний телефон (закінчення блоку)
**ram:MobileTelephoneUniversalCommunication**,O,,Мобільний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:MobileTelephoneUniversalCommunication**,,,Мобільний телефон (закінчення блоку)
**ram:EmailURIUniversalCommunication**,O,,Електронна адреса (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:EmailURIUniversalCommunication**,,,Електронна адреса (закінчення блоку)
**ram:DefinedTradeContact**,,,Контакти відповідального представника (закінчення блоку)
**ram:PostalTradeAddress**,M,,"Юридична адреса Перевізника (юридична адреса суб’єкта господарювання (юридичної особи або фізичної особи - підприємця) або адреса реєстрації фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг) (початок блоку)"
ram:PostcodeCode,O,string,Індекс
ram:StreetName,M,string,Адреса (назва вулиці + номер будівлі)
ram:CityName,M,string,Місто (назва населеного пункту)
ram:CountryID,M,string,Країна (UA)
