Назва поля,Тип [1]_,Формат,Опис
**UAECMR_ACT**,M,,(початок документа)
**ACT**,M,,(початок змісту документа)
**ExchangedDocumentContext**,M,,Технічні дані (початок блоку)
ram:SpecifiedTransactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,"параметр контексту документа, визначений бізнес-процесом (початок блоку)"
ram:ID,M,string,код документа
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,"параметр контексту документа, визначений бізнес-процесом (закінчення блоку)"
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,"параметр контексту визначеного документа (початок блоку)"
ram:ID,M,unsignedByte,підтип документа (Акт про заміну пункту призначення)
**ram:GuidelineSpecifiedDocumentContextParameter**,,,"параметр контексту визначеного документа (закінчення блоку)"
**ExchangedDocumentContext**,,,Технічні дані (закінчення блоку)
**ExchangedDocument**,M,,Реквізити Акта (початок блоку)
ram:ID,M,string,номер документа
**ram:IssueDateTime**,M,,Дата і час складання документа (початок блоку)
**udt:DateTime**,,:abbr:`datetime (yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime )`,Дата і час складання Акта
**ram:IssueDateTime**,,,Дата і час складання документа (закінчення блоку)
ram:Remarks,O,string,Інші примітки
**ram:IssueLogisticsLocation**,M,,Місце складання документа (початок блоку)
ram:Name,M,string,Найменування місця складання Акта
ram:Description,M,string,Опис (адреса) місця складання Акта
**ram:IssueLogisticsLocation**,,,Місце складання документа (закінчення блоку)
**ExchangedDocument**,,,Реквізити Акта (закінчення блоку)
**ConsigneeChangeActPayload**,M,,Інформація про Акт (початок блоку)
**PreviousAdministrativeReferencedDocument**,M,,"Інформація про е-ТТН, для якої складається акт (початок блоку)"
ram:TypeCode,M,string,Тип документа (730 - ТТН). `Довідник кодів документів <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:ID,M,string,Номер документа-підстави (ТТН); має відповідати номеру документа ExchangedDocument.ID еТТН
**ram:FormattedIssueDateTime**,M,,Дата документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН (початок блоку)
qdt:DateTimeString,M,:abbr:`datetime (yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime )`,Дата та час документа-підстави (ТТН)
**ram:FormattedIssueDateTime**,,,Дата документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН (закінчення блоку)
**PreviousAdministrativeReferencedDocument**,,,"Інформація про е-ТТН, для якої складається акт (закінчення блоку)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Інформація про попередній акт, у випадку наступної транзакції (початок блоку)"
ram:TypeCode,M,string,Тип документа. `Довідник кодів документів <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:ID,M,string,Номер документа-підстави (Акт); має відповідати номеру документа ExchangedDocument.ID Акта
**ram:FormattedIssueDateTime**,M,,Дата документа-підстави (Акт); має відповідати даті документа ExchangedDocument.IssueDateTime Акта (початок блоку)
qdt:DateTimeString,M,:abbr:`datetime (yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime )`,Дата та час документа-підстави (Акта)
**ram:FormattedIssueDateTime**,,,Дата документа-підстави (Акта); має відповідати даті документа ExchangedDocument.IssueDateTime Акта (закінчення блоку)
**PreviousAdministrativeReferencedDocument**,,,"Інформація про попередній акт, у випадку наступної транзакції (закінчення блоку)"
**InitiatorTradeParty**,M,,"Ініціатор акта - Вантажоодержувач (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Вантажоодержувача (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Вантажоодержувача (закінчення блоку)"
ram:Name,M,string,"Повне найменування Вантажоодержувача"
ram:RoleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**InitiatorTradeParty**,,,"Ініціатор акта - Вантажоодержувач (закінчення блоку)"
**CarrierTradeParty**,M,,"Перевізник (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Перевізника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Перевізника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Перевізника"
ram:RoleCode,M,string,Роль учасника (Перевізник - СА). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**CarrierTradeParty**,,,"Перевізник (закінчення блоку)"
**CustomerTradeParty**,M,,"Замовник (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Замовника (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Замовника (закінчення блоку)"
ram:Name,M,string,"Повне найменування Замовника"
ram:RoleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**CustomerTradeParty**,,,"Замовник (закінчення блоку)"
**ConsigneeTradeParty**,O,,"Новий Вантажоодержувач (початок блоку)"
**ram:ID**,M,,"Ідентифікаційний код Вантажоодержувача (початок блоку)"
schemeAgencyID,M,string,ЄДРПОУ
value,M,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код Вантажоодержувача (закінчення блоку)"
ram:Name,M,string,"Повне найменування Вантажоодержувача"
ram:RoleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,,Контакти відповідального представника Вантажоодержувача (початок блоку)
ram:PersonName,O,string,ПІБ
**ram:TelephoneUniversalCommunication**,O,,Основний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:TelephoneUniversalCommunication**,,,Основний телефон (закінчення блоку)
**ram:MobileTelephoneUniversalCommunication**,O,,Мобільний телефон (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:MobileTelephoneUniversalCommunication**,,,Мобільний телефон (закінчення блоку)
**ram:EmailURIUniversalCommunication**,O,,Електронна адреса (початок блоку)
ram:CompleteNumber,O,string,Контактні дані
**ram:EmailURIUniversalCommunication**,,,Електронна адреса (закінчення блоку)
**ram:DefinedTradeContact**,,,Контакти відповідального представника Вантажоодержувача (закінчення блоку)
**ram:PostalTradeAddress**,M,,Юридична адреса Вантажоодержувача (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця) (початок блоку)
ram:PostcodeCode,O,string,Індекс
ram:StreetName,M,string,Адреса (назва вулиці + номер будівлі)
ram:CityName,M,string,Місто (назва населеного пункту)
ram:CountryID,M,string,Країна (UA)
ram:CountrySubDivisionName,O,string,Область та район (за наявності)
**ram:PostalTradeAddress**,,,Юридична адреса Вантажоодержувача (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця) (закінчення блоку)
**ram:SpecifiedTaxRegistration**,O,,Ідентифікаційний код відповідальної особи (початок блоку)
ram:ID,O,string,РНОКПП відповідальної особи
**ram:SpecifiedTaxRegistration**,,,Ідентифікаційний код відповідальної особи (закінчення блоку)
**ConsigneeTradeParty**,,,"Новий Вантажоодержувач (закінчення блоку)"
**ConsigneeReceiptLogisticsLocation**,M,,Пункт розвантаження (початок блоку)
**ram:ID**,M,,"Код КАТОТТГ пункту розвантаження відповідно до Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад (початок блоку)"
schemeAgencyID,M,string,КАТОТТГ
value,M,decimal,Значення
**ram:ID**,,,"Код КАТОТТГ пункту розвантаження відповідно до Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад (закінчення блоку)"
ram:Name,M,string,Найменування пункту розвантаження
ram:TypeCode,M,string,Тип операції: 5 - навантаження; 10 - розвантаження
ram:Description,M,string,Опис (адреса) пункту розвантаження
**ram:PhysicalGeographicalCoordinate**,O,,Географічні координати (початок блоку)
ram:LatitudeMeasure,O,string,Широта
ram:LongitudeMeasure,O,string,Довгота
**ram:PhysicalGeographicalCoordinate**,,,Географічні координати (закінчення блоку)
**ConsigneeReceiptLogisticsLocation**,,,Пункт розвантаження (закінчення блоку)
InitiatorNotes,M,string,Короткий або повний опис причин складання акта (Ініціатор)
CarrierNotes,O,string,Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Перевізник)
CustomerNotes,O,string,Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Замовник)
**ConsigneeChangeActPayload**,,,Інформація про Акт (закінчення блоку)
**CertifyingPartyPayload**,M,,Інформація про відповідальних осіб (початок блоку)
**ram:CertifyingTradeParty** (RoleCode=CN),O,,"Інформація про відповідальних осіб Вантажоодержувача (початок блоку)"
**ram:ID**,O,,"Ідентифікаційний код - РНОКПП відповідальної особи Вантажоодержувача (початок блоку)"
schemeAgencyID,O,string,РНОКПП
value,O,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код - РНОКПП відповідальної особи Вантажоодержувача (закінчення блоку)"
ram:Name,M,string,"Посада відповідальної особи Вантажоодержувача"
ram:RoleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,,Контакти відповідального представника (початок блоку)
ram:PersonName,M,string,"ПІБ відповідальної особи Вантажоодержувача"
**ram:DefinedTradeContact**,,,Контакти відповідального представника (закінчення блоку)
**ram:CertifyingTradeParty** (RoleCode=CN),,,"Інформація про відповідальних осіб Вантажоодержувача (закінчення блоку)"
**ram:CertifyingTradeParty** (RoleCode=CA),M,,"Інформація про Перевізника (початок блоку)"
**ram:ID**,O,,"Ідентифікаційний код - РНОКПП Перевізника (початок блоку)"
schemeAgencyID,O,string,РНОКПП
value,O,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код - РНОКПП Перевізника (закінчення блоку)"
ram:Name,M,string,"Посада Перевізника"
ram:RoleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,,Контакти відповідального представника (початок блоку)
ram:PersonName,M,string,"ПІБ Перевізника"
**ram:DefinedTradeContact**,,,Контакти відповідального представника (закінчення блоку)
**ram:CertifyingTradeParty** (RoleCode=CA),,,"Інформація про Перевізника (закінчення блоку)"
**ram:CertifyingTradeParty** (RoleCode=ОВ),M,,"Інформація про відповідальних осіб Замовника (початок блоку)"
**ram:ID**,O,,"Ідентифікаційний код - РНОКПП Замовника (початок блоку)"
schemeAgencyID,O,string,РНОКПП
value,O,decimal,Значення
**ram:ID**,,,"Ідентифікаційний код - РНОКПП водія (закінчення блоку)"
ram:Name,M,string,"Посада Замовника"
ram:RoleCode,M,string,Роль учасника (Замовник - ОВ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,,Контакти відповідального представника (початок блоку)
ram:PersonName,M,string,"ПІБ Замовника"
**ram:DefinedTradeContact**,,,Контакти відповідального представника (закінчення блоку)
**ram:CertifyingTradeParty** (RoleCode=ОВ),,,"Інформація про відповідальних осіб Замовника (закінчення блоку)"
**CertifyingPartyPayload**,,,Інформація про відповідальних осіб (закінчення блоку)
**ACT**,,,(закінчення змісту документа)
**UaSignatureStorage**,M,,Підписи (початок блоку)
**VisualReferencedDocument**,O,,Графічне відображення документа (початок блоку)
ram:TypeCode,O,string,Тип (916 - Акт). `Довідник кодів документів <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:Remarks,O,string,Графічне зображення Акта в base64
**VisualReferencedDocument**,,,Графічне відображення документ (закінчення блоку)
**Signature** (SigningPartyRoleCode=CN),M,,"КЕП Вантажоодержувача (початок блоку)"
SigningPartyRoleCode,M,string,Роль підписанта (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string,Підпис (base64 підпису p7s)
Name,M,string,ПІБ підписанта (відповідальної особи Вантажоодержувача)
Position,O,string,Посада підписанта (відповідальної особи Вантажоодержувача)
**ram:SpecifiedTaxRegistration**,M,,Ідентифікаційний код відповідальної особи Вантажоодержувача (початок блоку)
ram:ID,M,string,РНОКПП підписанта (відповідальної особи Вантажоодержувача)
**ram:SpecifiedTaxRegistration**,,,Ідентифікаційний код відповідальної особи Вантажоодержувача (закінчення блоку)
**Signature** (SigningPartyRoleCode=CN),,,"КЕП Вантажоодержувача (закінчення блоку)"
**Signature** (SigningPartyRoleCode=CA),M,,"КЕП Перевізника (початок блоку)"
SigningPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string,Підпис (base64 підпису p7s)
Name,M,string,ПІБ підписанта (Перевізника)
Position,O,string,Посада підписанта (Перевізника)
**ram:SpecifiedTaxRegistration**,M,,Ідентифікаційний код Перевізника (початок блоку)
ram:ID,M,string,РНОКПП підписанта (Перевізника)
**ram:SpecifiedTaxRegistration**,,,Ідентифікаційний код Перевізника (закінчення блоку)
**Signature** (SigningPartyRoleCode=CA),,,"КЕП Перевізника (закінчення блоку)"
**Signature** (SigningPartyRoleCode=OB),M,,"КЕП Замовника (початок блоку)"
