№ з/п,Параметр,Тип [1]_,Формат,Опис
,**UAECMR**,M, ,Початок документа
I,**ecmr**,M, ,Початок змісту документа
1.1,**documentContext**.transactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
1.2.1,**documentContext**.**documentCode**.id,M,string,код типу документа
1.3.1,**documentContext**.**documentSubCode**.id,M,string,код підтипу документа
2.1,**exchangedDocument**.id,M,string,порядковий номер (серія) документа
2.2.1,**exchangedDocument**.**issueDateTime**.dateTime,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата і час складання документа
2.3,**exchangedDocument**.remarks,O,string,Ремарки
2.4.1.1,**exchangedDocument**.**includedNote**.**contentCode**.listAgencyID,"M для GLN (решта O)",String,"Ідентифікатор:

* GLN
* transportation_max_temperature (Максимальна температура під час перевезення)
* logger_return (Повернення логера)
* logistic_unit_number_with_logger (Номер логістичної одиниці з термологером)
* gps_number (Номер GPS)
* logger_number (Номер термологера).

Ідентифікатори logistic_unit_number_with_logger / gps_number / logger_number вказуються контрагентом з роллю «Вантажовідправник». Ідентифікатори transportation_max_temperature та logger_return вказуються контрагентом з роллю «Вантажоодержувач»"
2.4.1.2,**exchangedDocument**.**includedNote**.**contentCode**.value,M,"* для GLN = Число (13)
* для transportation_max_temperature = Число (3)
* для logger_return = «Так» / «Ні»
* для logistic_unit_number_with_logger = Рядок
* для gps_number = Рядок
* для logger_number = Рядок",значення ідентифікатора
2.4.2,**exchangedDocument**.**includedNote**.content,M,string,"Код ролі учасника. `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__

* перевізник - CA
* новий перевізник - CH
* водій - DR
* новий водій - DRS"
2.5.1,**exchangedDocument**.**issueLogisticsLocation**.name,M,string,Найменування місця складання ТТН
2.5.2,**exchangedDocument**.**issueLogisticsLocation**.description,M,string,Опис (адреса) місця складання ТТН
3,**specifiedSupplyChainConsignment**,M, ,Інформація про перевезення
3.1.1,**grossWeightMeasure**.unitCode,M,string,`Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
3.1.2,**grossWeightMeasure**.value,M,decimal,Значення
3.2.1,**associatedInvoiceAmount**.currencyId,M,string,Тризначний код валюти (UAH)
3.2.2,**associatedInvoiceAmount**.value,M,decimal,Значення
3.3,consignmentItemQuantity,M,decimal,Загальна кількість місць вантажу (контейнерів)
3.4,**consignor**,M, ,Вантажовідправник
3.4.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Вантажовідправника
3.4.1.2,**id**.value,M,decimal,Значення
3.4.2,name,M,string,"Повне найменування Вантажовідправника (юридичної особи або ПІБ фізичної-особи підприємця), що проводить відвантаження (списання) перелічених в ТТН товарно-матеріальних цінностей"
3.4.3,roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**tradeContact**,O, ,Контакти відповідального представника
3.4.4.1,personName,O,string,ПІБ
3.4.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.4.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.4.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.4.5,**postalTradeAddress**,M, ,Юридична адреса Вантажовідправника
3.4.5.1,postCode,O,string,Індекс
3.4.5.2,.streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.4.5.3,.cityName,M,string,Місто (назва населеного пункту)
3.4.5.4,.countryID,M,string,Країна (UA)
3.4.5.5,.countrySubDivisionName,O,string,Область та район (за наявності)
3.4.6,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.,**consignee**.**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Вантажоодержувача
3.,**consignee**.**id**.value,M,decimal,Значення
3.,**consignee**.name,M,string,"Повне найменування Вантажоодержувача (юридичної особи або ПІБ фізичної-особи підприємця), що проводить одержання (оприбуткування) перелічених в ТТН товарно-матеріальних цінностей"
3.,**consignee**.roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**consignee**.**tradeContact**.personName,O,string,ПІБ
3.,**consignee**.**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.,**consignee**.**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.,**consignee**.**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.,**consignee**.**postalTradeAddress**.postCode,O,string,Індекс
3.,**consignee**.**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.,**consignee**.**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
