№ з/п,Параметр,Тип [1]_,Формат,Опис
I,**act**,M,,(початок змісту документа)
1,**documentContext**,M, ,Технічні дані
1.1,transactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
1.2.1,**documentCode**.id,M,string,код документа
1.3.1,**documentSubCode**.id,M,unsignedByte,підтип документа
2,**exchangedDocument**,M,,Реквізити Акта
2.1,id,M,string,номер документа
2.2.1,**issueDateTime**.dateTime,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата і час складання Акта
2.3,remarks,O,string,Інші примітки
2.4.1,**issueLogisticsLocation**.name,M,string,Найменування місця складання Акта
2.4.2,**issueLogisticsLocation**.description,M,string,Опис (адреса) місця складання Акта
3,**reloadActPayload**,M,,Зміст «Акта перевантаження»
3.1,**previousAdministrativeReferencedDocuments** (TypeCode=730),M, ,"Інформація про е-ТТН, для якої складається акт"
3.1.1,typeCode,M,string,Тип документа (730 - ТТН). `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
3.1.2,id,M,string,Номер документа-підстави (ТТН); має відповідати номеру документа ExchangedDocument.ID еТТН
3.1.3.1,**formattedIssueDateTime**.dateTime,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час документа-підстави (ТТН); має відповідати даті документа ExchangedDocument.IssueDateTime еТТН
3.1.4,**attachedSpecifiedBinaryFile**,M,,"Дані е-ТТН, для якої складається акт"
3.1.4.1,id,M,string,Ідентифікатор (guid) документа-підстави (ТТН); має відповідати document.id еТТН в ЦБД (значення **ettnId** з методу `Отримання списку подій з ЦБД  <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = значення **external_doc_id** `Отримання мета-даних документа <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
3.1.4.2,uriid,O,string,посилання на документ
3.1.4.3,MIMECode,O,string,`MIME типізація <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
3.1.4.4,SizeMeasure,O,long,розмір файлу в байтах
3.2,**previousAdministrativeReferencedDocuments**,-/M,,"Інформація про попередній акт, у випадку наступної транзакції"
3.2.1,typeCode,M,string,Тип документа. `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
3.2.2,id,M,string,Номер документа-підстави (Акт); має відповідати номеру документа ExchangedDocument.ID Акта
3.2.3.1,**formattedIssueDateTime**.dateTime,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час документа-підстави (Акта)
3.3,**carrierTradeParty**,M,,"Перевізник, що здає вантаж"
3.3.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ Перевізника
3.3.1.2,**id**.value,M,decimal,Значення
3.3.2,name,M,string,"Повне найменування Перевізника"
3.3.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.3.4,**specifiedGovernmentRegistrations**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.3.4.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.3.4.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
