№ з/п,Параметр,Тип [1]_,Формат,Опис
I,**TRANSPORTATIONORDER**,M,,Початок документа
1,NUMBER,M,Рядок (50),Номер документа
2,DATE,M,YYYY-MM-DD,Дата документа
3,SUBDOCTYPE,M,Число (1),"Підтип документа:

* 1 - заявка на транспортування (ORDER)
* 2 - підтвердження заявки на транспортування (CONFIRMATION)"
4,**ASSOCIATEDREFERENCEDDOCUMENT**,O,,Посилання на документ-підставу
4.1,NUMBER,O,Рядок (50),Номер документа-підстави
4.2,DATE,O,YYYY-MM-DD,Дата документа-підстави
4.3,UUID,O,Рядок,UUID документа-підстави
5,TRANSPORTATIONTYPE,M,Число (1),"Вид перевезень:

* 1 - покілометровий тариф;
* 2 - погодинний тариф;
* 3 - відрядний тариф;
* 4 - централізоване перевезення;
* 5 - внутрішньоміське;
* 6 - приміське;
* 7 - міжміське;
* 8 - міжнародне перевезення;
* 9 - перевезення між складами (шатлінг);
* 10 - доставка до дистриб’ютора та ключових клієнтів (дистрибуція);
* 11 - перевезення збірного вантажу (пулінг)"
6,CAMPAIGNNUMBER,O,Рядок (100),Номер договору
7,CAMPAIGNDATE,"O (M - якщо заповнено CAMPAIGNNUMBER)",YYYY-MM-DD,Дата договору
8,PURCHASEORDERNUMBER,O,Рядок,Замовлення на закупівлю
9,TRANSPORTATIONPAYMENTTYPE,O,Число (1),"Cпосіб тарифікації:

* 1 - фіксована вартість;
* 2 - за кілометраж;
* 3 - за тоннаж"
10,**TRANSPORTATIONCOST**,O,,Вартість перевезення
10.1,WITHOUTVAT,"O (M - якщо TRANSPORTATIONPAYMENTTYPE = 1)","Позитивне число з плаваючою точкою (10,2)",Вартість перевезення без ПДВ
10.2,VAT,O,Число (2),"Ставка ПДВ, %: 20, 7, 0"
10.3,WITHVAT,"O (M - якщо TRANSPORTATIONPAYMENTTYPE = 1)","Позитивне число з плаваючою точкою (10,2)",Вартість перевезення з ПДВ
11,**TRANSPORTATIONMEANS**,O (М - якщо SUBDOCTYPE = 2),,Інформація про транспортний засіб
11.1,CATEGORYCODE,M,Рядок,"Тип транспортного засобу:

* TRUCK - Вантажний (якщо нічого не вказано)
* TE - Trailer (причіп/напівпричіп)"
11.2,CHARACTERISTICCODE,"О (М - якщо CATEGORYCODE = TE)",Число (2),"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
11.3,ID,M,Рядок (16),Реєстраційний номер
11.4,MODEL,M,Рядок,Модель
11.5,BRAND,M,Рядок,Марка
11.6,TYPE,M,Рядок,Тип
11.7,COLOR,O,Рядок,Колір
11.8,**TEMPERATURE**,O,,Температура
11.8.1,MIN,M,Рядок,Мінімальна температура
11.8.2,MAX,M,Рядок,Максимальна температура
12,LENGTHROUTE,"O (M - якщо TRANSPORTATIONPAYMENTTYPE = 2)","Позитивне число з плаваючою точкою (10,3)",Загальна відстань перевезення (кілометраж)
