**Catalog1C_Settings**,**Блок налаштувань довідників**,,**Опис** 
,Organization,,Блок збереження налаштувань для організацій 
,,Catalog1C,"Назва довідника 1С | BAS, елементам якого у відповідність ставляться організації на платформі"
,,EDIN_GLN,Блок опису налаштування по збереженню GLN організації 
,Partner,,
,,Catalog1C,"Назва довідника 1С | BAS, елементам якого у відповідність ставляться партнерів на платформі"
,,EDIN_GLN,Блок опису налаштування по збереженню GLN партнера
,,EDIN_Forma,Блок опису налаштування по збереженню формату 
,,FormatTaxInvoice,"Вивантаження податкових накладних. Можливі значення: 0 – вивантаження не передбачено, 1 – по замовчуванню, 2 – Метро"
,,EDIN_BasePrice,Блок опису налаштування по збереженню необхідності заповненню цін із бази при заповненні документу 1С | BAS 
,,EDIN_Price_Incl_NDS,Блок опису налаштування по збереженню необхідності заповненню цін з НДС при заповненні документу 1С | BAS 
,,EDIN_AvtoExchange,Блок опису налаштування по збереженню відмітки включення контрагента в список для автоматичного обміну документами
,DeliveryPoint,,
,,Catalog1C,"Назва довідника 1С | BAS, елементам якого у відповідність ставляться точок доставки на платформі"
,,EDIN_GLN,Блок опису налаштування по збереженню GLN точки доставки
,,EDIN_MetroCode,"Блок опису налаштувань по збереженню двозначного кода, який використовується при відправки пакету Метро"
,,EDIN_Partner,"Блок опису налаштування по збереженню контрагента, якому належить точка доставки. Використовується при встановленому прапорцю «Пошук контрагента по точці доставки»"
