Параметр, Формат, Опис
.. _XSearchDocsQuery: , Об'єкт **XSearchDocsQuery** ,
**indexes**,List<Index_>,масив об'єктів; індекси
**direction**,Direction_,"об'єкт; напрямок документообігу; вказуються відправник, отримувач і зв'язок між ними в умовах відбору документів"
retailerId,Long,id мережі (ритейлера)
retailers,List<Long>,масив; список мереж (ритейлерів)
statuses,List<Integer>,"масив; статус документа

* 1 - Чернетка;
* 3 - На узгодженні;
* 4 - Відхилено;
* 6 - Підписання постачальником;
* 7 - Завершено"
types,List<Integer>,"масив; тип документа

* 1 - Регулярна ціна;
* 2 - Промо ціна;
* 5 - Промо ціна - Компенсація;
* 6 - Промо ціна - Комбо"
contractGlnIDs,List<Integer>,"масив; id Gln-нів контрагентів"
**contractNumber**,Field_,"об'єкт; номер контракту/специфікації"
**contractDescription**,Field_,"об'єкт; опис контракту/специфікації"
**dateCreated**,DateTimeRange_,об'єкт; дата створення документа (в форматі UNIX-timestamp) з / по
**dateChanged**,DateTimeRange_,об'єкт; дата зміни документа (в форматі UNIX-timestamp) з / по
**docDate**,DateTimeRange_,об'єкт; дата документа (в форматі UNIX-timestamp) з / по
**limit**,Limitation_,объект; фільтр відбору (налаштування виводу даних)
docNumber,String,номер документа
archive,Boolean,"відмітка про те, що документ оброблений (архівний)"
withChilds,Boolean,"відмітка про наявність дочірніх документів"
