Назва поля, Тип [1]_, Формат, Опис
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)" 
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,O,Рядок (30),Номер свідоцтва ПДВ
МФО,O,Рядок (30),Номер МФО
Поточний рахунок,O,Рядок (30),Номер поточного рахунку
IBAN,О,Рядок (34),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,О,Рядок (20),Телефон
GLN,M,Число (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,О, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр (*<Параметр ІД=«1» назва=«GLN контракту»>9864119011415</Параметр>*),O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,, ,Параметри (завершення блоку)
**Таблиця**,О,Кількіть входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Число (3),Номер позиції
Штрихкод,О,Число (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,О,Рядок (10),Артикул покупця
АртикулПродавця,О,Рядок (10),Артикул продавця
КодУКТЗЕД,О,Число (4-10),Код УКТ ЗЕД
Найменування,М,Рядок (50),Найменування товарної позиції
ОдиницяВиміру,О,Рядок (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам..."
ПДВ,О,,Ставка податку на додану вартість
**СтараЦіна**,, ,Стара ціна (початок блоку)
ЦінаБезПДВ,M, ,Ціна без ПДВ
ЦінаЗПДВ,M, ,Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ,О,,Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ,О,,Ціна зі знижкою з ПДВ
**СтараЦіна**,, ,Стара ціна (завершення блоку)
**ЦінаРегулярна**, , ,Регулярна ціна (початок блоку)
ЦінаБезПДВ,О, ,Ціна без ПДВ
ЦінаЗПДВ,О, ,Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ,О,,Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ,О,,Ціна зі знижкою з ПДВ
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
**ПромоЦіна**, , ,Промо ціна (початок блоку)
ЦінаБезПДВ,О, ,Промо ціна без ПДВ
ЦінаЗПДВ,О, ,Промо ціна з ПДВ
**ПромоЦіна**, , ,Промо ціна (завершення блоку)
КількістьПромо,О, ,Кількість SKU за промо ціною
ПроцентКомпенсації,О,"Число (6,2)",Процент компенсації
СумаЗаАктиваціюАкції,О,"Число (6,4)",Сума за активацію акції
РекомендованаРоздрібнаЦінаЗПДВ,О,"Число (6,4)",Рекомендована роздрібна ціна з ПДВ
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,О, ,Завершення документу
