Назва поля, Тип [1]_, Формат, Опис
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
CATEGORY, М, Рядок,Категорія
GROUP1, М, Рядок,Група
GROUP2, М, Рядок,Підгрупа
GROUP_ID, М, Рядок,Товарний сегмент
POSTPONEMENT, М, Число,Відстрочка платежу (днів)
**MARKETING**,O,, Маркетингові умови (початок блоку)
PROMOTION,O,Число, Просування (% компенсації)
LOGISTICS,O,Число,Логістика (% компенсації)
DAMAGE,O,Число,Псування продукту (% компенсації)
TPR,O,Число,ТPR-бюджет
**MARKETING**,,, Маркетингові умови (закінчення блоку)
**RESPONSIBLE_OFFICER**,M,, Відповідальний співробітник постачальника (початок блоку)
SURNAME, М, Рядок,Прізвище
NAME, М, Рядок,Ім'я
MIDDLENAME, O, Рядок,По батькові
EMAIL, М, Рядок,Email
PHONE, М, Число,Номер телефона
**RESPONSIBLE_OFFICER**,,, Відповідальний співробітник постачальника (закінчення блоку)
STORAGE_CONDITIONS, O, Рядок,Умови зберігання товару
RETURN_CONDITIONS, O, Рядок,Умови повернення товару
DELIVERY_OPTION, O, Рядок,Можливість постачання (Розподільчий центр чи/та Магазин)
MINIMAL_AMOUNT,O,Число,Мінімальна сума замовлення (грн)
DELIVERY_REGION, O, Рядок,Регіон постачання (список областей через кому)
REASON_REJECTION, O/M, Рядок (500), Причина відхилення. Обов'язково передається при відхиленні документа
ACCEPTATION_COMMENT, O, Рядок (500), Коментар (інформація щодо прийняття)
**POSITION**,M,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне (3), Номер позиції в документі
NAME, М, Рядок,Найменування
BARCODE, М, Число,Штрих-код
BRAND, М, Рядок,Торгова марка
PRODUCER_NAME, М, Рядок,Виробник
UNIT, M, Рядок (3),`Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
UNIT_WEIGHT,O,Число,Вага одиниці виміру (кг)
UNIT_VOLUME,O,Число,Об'єм одиниці виміру (літ)
UNIT_PRICE,M,Число,Ціна за одиницю
WEIGHT_PRICE,O,Число,Ціна за кг
VOLUME_PRICE,O,Число,Ціна за літр
VAT, O,Число («20» / «19» / «7» / «0.00»),"Ставка ПДВ,%"
PROFITABILITY, М, Число,Націнка
ICON_LINK, O, Рядок,Посилання на іконку товару
LOGO_LINK, O, Рядок,Посилання на фото товару
**TRADE_CONDITION**,O,, Моніторинг цін для інших мереж (початок блоку)
RETAILER_NAME,O,, Назва мережі
EDRPOU_CODE,M,, Код ЄДРПОУ мережі
PRICE,M,, Ціна для мережі
**TRADE_CONDITION**,,, Моніторинг цін для інших мереж (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
