Назва поля, Тип [1]_, Формат, Опис
**PRODUCTLIST**, M,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
CONTRACTNUMBER, M, Рядок (50), Номер контракту
CONTRACTDESCRIPTION, O, Рядок (70), Опис контракту
CONTRACTEXPIRYDATE, M, Дата (РРРР-ММ-ДД), Дата закінчення дії контракту
CONTRACTGLN, M, Число (13), GLN контракту
CAMPAIGNNUMBER, M, Рядок (20), Номер договору
CAMPAIGNDATE, M, Дата (РРРР-ММ-ДД), Дата договору
REVIEWDEADLINE, О, Число (3), Термін подачі на розгляд
AGREEMENTNUMBER, О, Число (3), Допустима кількість погоджень
DISCOUNTWORKSTATUS, M,"0,1","Робота з ціною зі знижкою: 0 - ні, 1 - так"
PROLONGATIONCONTRACT, O, Число,"Автоматична пролонгація контракту: 0 - ні, 1 - так"
**HEAD**, M,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN продавця
RECIPIENT, M, Число (13), GLN одержувача
SENDER, M, Число (13), GLN відправника
**POSITION**, М,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число ціле позитивне, Номер товарної позиції
ACTION, O,"Число (4,2)","Можливі значення: 4 - видалення товарної позиції, 2 - введення товарної позиції (новинка)"
PRODUCT, M,"Число (13)", Штрих-код продукту
PRODUCTIDBUYER, M, Рядок (15), Внутрішній номер в БД
DESCRIPTION, M, Рядок (255), Опис продукту
UCCFEA, M, Число (4-10), Код УКТ ЗЕД
DISCOUNTPRICE, O, "Число десяткове (10,4)", Ціна зі знижкою без ПДВ
DISCOUNTPRICEWITHVAT, О, "Число десяткове (10,4)", Ціна зі знижкою з ПДВ
DISCOUNTDATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії ціни зі знижкою
DISCOUNTDATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії ціни зі знижкою
PRICE, M, "Число десяткове (10,4)", Ціна без ПДВ
PRICEWITHVAT, O, "Число десяткове (10,4)", Ціна з ПДВ
PRICEDATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії ціни
PRICEDATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії ціни
PROMO, O, "Число десяткове (10,4)", Промо ціна без ПДВ
PROMOWITHVAT, O, "Число десяткове (10,4)", Промо ціна з ПДВ
PROMODATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії промо ціни
PROMODATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії промо ціни
PROMOQUANTITY, O, "Число десяткове (10,3)", Кількість товару
VAT, M,Число («20» / «7» / «0»),"Ставка ПДВ,%"
UNIT, M, Рядок (3),Одиниці виміру [2]_
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**PRODUCTLIST**,,, Закінчення документа

















**DISTRIBEX_LIMITS**,,, Початок документа	
**HEAD**,,, Початок основного блоку	
SENDER, M, Число (13), GLN Виробника
RECIPIENT, M, Число (13), GLN Дистриб'ютора
**LIMIT**,,, Обмеження (початок блоку)	
NAME, M, "Рядок - «min_sum_nds», «max_sum_nds», «credit_limit», «max_weight», «max_pos_qty», «max_pack_qty», «max_pallet_qty», «multiplicity_packing»",	Назва обмеження	
VALUE, M, "Число (формат залежить від NAME):

* Мінімальна сума замовлення з ПДВ - float (10,4)
* Максимальна сума замовлення з ПДВ - float (10,4)
* Кредитний ліміт - float (10,4)
* Максимальна вага замовлення - float (13,3)
* Максимальна кількість позицій в замовленні - число позитивне (10)
* Максимальна кількість коробок - число позитивне (10)
* Максимальна кількість палет - число позитивне (10)
* Кратність упаковки - 0-ні; 1-так", Значення обмеження
**LIMIT**,,, Обмеження (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**DISTRIBEX_LIMITS**,,, Закінчення документа
