Назва поля, Тип [1]_, Формат, Опис
**DESADV**,,, Початок документа
NUMBER, M, Рядок (50), Номер повідомлення про відвантаження
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
VERSION, O, Ціле позитивне число, "Версія документа (на рівні одного ланцюжка документів). При заміні документа (номер документа зберігається) потрібно збільшувати значення на одиницю (n+1)"
DELIVERYDATE, M, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, O, Час (год: хв), Час поставки
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
ORDRSPNUMBER, O, Рядок (16), Номер підтвердження замовлення
ORDRSPDATE, O, Дата (РРРР-ММ-ДД), Дата підтвердження замовлення
DELIVERYNOTENUMBER, M, Рядок (16), Номер накладної
DELIVERYNOTEDATE, M, Дата (РРРР-ММ-ДД), Дата накладної
RECIPTYPE, O, Рядок (1),"Доступні значення:

* 0 - «Пряма поставка на АТБ» (за замовчуванням),
* 1 - «Поставка зі складів Логістик Юніон»."
INFO, O, Рядок (70), Вільний текст
PAYMENTTERM, O, Дата (РРРР-ММ-ДД), Кінцева дата оплати товару
SHIPMENTS, O, Рядок (1), Перевезення
CAMPAIGNNUMBER, O, Рядок (70), Номер договору на поставку
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
FINALRECIPIENT, O, Число (13), GLN кінцевого консигнатора
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, M, Число позитивне, Номер ієрархії упаковки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне, Номер товарної позиції
PRODUCT, M,"Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
IDPRODUCER, O, Рядок (8), Код виробника
PRODUCTIDBUYER, O, Рядок (16), Артикул в БД покупця
DELIVEREDQUANTITY, M, Число позитивне,"кількість, що поставляється"
DELIVEREDUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
ORDEREDQUANTITY, O, Число позитивне, Замовлена кількість
ORDERUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
AMOUNT, O, Число десяткове, Сума товару без ПДВ
AMOUNTWITHVAT, O, Число десяткове, Сума товару з ПДВ
CUSTOMSTARIFFNUMBER, O, Число (4-10), Код УКТЗЕД / Номер державної митної декларації (ВМД)
PRICE, O, Число десяткове, Ціна продукту без ПДВ
PRICEWITHVAT, O, Число десяткове, Ціна продукту c ПДВ
TAXRATE, O, Число (3),"Ставка податку (ПДВ,%)"
DESCRIPTION, O, Рядок (70), Опис продукту
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
BRANCH_UUID, O, Рядок (36), "UUID гілки поставки (автоматично заповнюється платформою EDIN 2.0); приклад значення: ``7b6cc5d8-9e5d-1cf7-adc9-196836579863``"
**DESADV**,,, Закінчення документа
