Назва поля, Тип [1]_, Формат, Опис
**Document-Invoice**,M,,Початок документа
**Invoice-Header**,M,Кількість входжень вузла: Min = 1; Max = 1,Заголовок (початок блоку)
InvoiceNumber,M,Рядок (16),Номер документу
InvoiceDate,M,Дата (РРРР-ММ-ДД),Дата складання документу
DocumentFunctionCode,M,Рядок (3),"Код типу документа:

* PRN - цінова накладна"
ContractNumber,M,Рядок (35),Номер договору
ContractDate,M,Дата (РРРР-ММ-ДД),Дата договору
InvoiceQuantity,M,Число,Загальна кількість накладних
InvoiceSequences,M,Число,Порядковий номер накладної
**Invoice-Header**,,,Заголовок (закінчення блоку)
**Invoice-Reference**,M,Кількість входжень вузла: Min = 1; Max = 1,Документ-підстава (початок блоку)
**Order**,O/M,,Замовлення (початок блоку). Заповнюється при формуванні документа на підставі замовлення.
BuyerOrderNumber,M,Рядок (35),Номер документу-підстави (замовлення)
BuyerOrderDate,M,Дата (РРРР-ММ-ДД),Дата складання документу-підстави (замовлення)
**Order**,,,Замовлення (закінчення блоку)
**Invoice**,O/M,,Накладна за кількістю (початок блоку). Заповнюється при формуванні документа на підставі Накладної за кількістю.
OriginalInvoiceNumber,M,Рядок (35),Номер документу-підстави (Накладної за кількістю)
OriginalInvoiceDate,M,Дата (РРРР-ММ-ДД),Дата складання документу-підстави (Накладної за кількістю)
**Invoice**,,,Накладна за кількістю (закінчення блоку)
**Invoice-Reference**,,,Документ-підстава (закінчення блоку)
**Invoice-Parties**,M,Кількість входжень вузла: Min = 1; Max = 1,"Сторони (контрагенти), між якими укладено документ (початок блоку)"
**Buyer**,M,Кількість входжень вузла: Min = 1; Max = 1,Блок покупця (початок)
ILN,M,Число (13),Глобальний номер розташування (GLN) контрагента
TaxID,M,Рядок (10),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
UtilizationRegisterNumber,M,Рядок (12),Індивідуальний податковий номер контрагента
Name,M,Рядок (60),Назва контрагента
**Buyer**,,,Блок покупця (закінчення)
**Seller**,M,Кількість входжень вузла: Min = 1; Max = 1,Блок продавця (початок)
ILN,M,Число (13),Глобальний номер розташування (GLN) контрагента
TaxID,M,Рядок (10),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
UtilizationRegisterNumber,M,Рядок (12),Індивідуальний податковий номер контрагента
Name,M,Рядок (60),Назва контрагента
**Seller**,,,Блок продавця (закінчення)
**DeliveryPoint**,M,Кількість входжень вузла: Min = 1; Max = 1,Точка доставки (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) точки доставки
Name,O,Рядок (80),Юридична особа об'єкту доставки
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**DeliveryPoint**,,,Точка доставки (закінчення блоку)
**Payer**,M,Кількість входжень вузла: Min = 1; Max = 1,Платник (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) платника
Name,O,Рядок (80),Юридична особа платника
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**Payer**,,,Платник (закінчення блоку)
**Invoice-Parties**,,,"Сторони (контрагенти), між якими укладено документ (закінчення блоку)"
**Invoice-Lines**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Line**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
**Line-Item**,M,Кількість входжень вузла: Min = 1;Max = 1,Позиція (початок блоку)
LineNumber,M,Ціле число (3),Номер позиції в табличній частині
EAN,M,Число (13),Штрих-код одиниці товару (продукту)
BuyerItemCode,M,Рядок (10),Артикул в БД покупця
ExternalItemCode,M,Рядок (4-10),код УКТЗЕД
ItemDescription,M,Рядок (50),Найменування товарної позиції
InvoiceQuantity,M,"Decimal (18,3)",Кількість поставлених одиниць товару
BuyerUnitOfMeasure,M,Рядок (10),"Одиниці виміру згідно `Класифікатора системи позначень одиниць вимірювання та обліку (КСПОВО) <https://dovidnyk.in.ua/directories/kspovo>`_ (шт. – штука; уп. – упаковка; л. – літр; послуга; кг. – кілограм; г. – грам…)"
InvoiceUnitNetPrice,M,"Decimal (18,5)", Ціна однієї одиниці без ПДВ
InvoiceUnitGrossPrice,M,"Decimal (18,2)", Ціна однієї одиниці з ПДВ
TaxRate,M, Число позитивне,"Ставка податку (ПДВ,%):

* 20
* 7
* 0"
GrossAmount,M,"Decimal (18,2)", Сума з ПДВ
TaxAmount,M,"Decimal (18,2)",Сума податку
NetAmount,M,"Decimal (18,2)", Сума без ПДВ
**Line-Item**,,,Позиція (закінчення блоку)
**Line**,,,Рядок (закінчення блоку)
**Invoice-Lines**,,,Таблиця (закінчення блоку)
**Invoice-Summary**,,,Разом (початок блоку)
TotalLines,M, Ціле число,Кількість рядків в документі
TotalNetAmount,M,"Decimal (18,2)", Загальна сума без ПДВ
TotalTaxAmount,M,"Decimal (18,2)", Сума ПДВ
TotalGrossAmount,M,"Decimal (18,2)",Загальна сума з ПДВ
**Invoice-Summary**,,,Разом (закінчення блоку)
**Document-Invoice**,,,Закінчення документа
