Назва поля, Тип [1]_, Формат, Опис
**ORDRSP**,,, Початок документа
NUMBER, M, Рядок (16), Номер підтвердження замовлення
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
TIME, M, Час (год: хв), Час створення документа
ORDERNUMBER, M, Рядок (16), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYDATE, M, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, О, Час (год: хв), Час поставки
CURRENCY, M, Рядок (3), Код валюти
ACTION, О,"« 4 »,« 5 »,« 27 »,« 29 »","4 - поставка змінена, 5 - заміна документа, 29 - поставка прийнята, 27 - поставка не прийнята"
INFO, M, Рядок (70), Вільний текст
CAMPAIGNNUMBER, M, Рядок (70), Номер договору
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
DELIVERYPLACE, M, Число (13), GLN місця доставки
INVOICEPARTNER, M, Число (13), GLN платника
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне (5),"Номер товарної позиції (Порядковий номер товарної позиції в документі (1, 2, 3, 4 ... n))"
PRODUCT, M,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDBUYER, M, Рядок (16), Артикул (код товару) в БД покупця
DESCRIPTION, M, Рядок (70), Опис продукту
PRODUCTTYPE, M,"« 1 »,« 2 »,« 3 »","1 - товар буде поставлений без змін,
2 - зміна замовленої кількості ,,,
3 - відмовлено в постачанні ,,,"
ORDEREDQUANTITY, О, Число позитивне, Замовлена кількість
ACCEPTEDQUANTITY, M, Число позитивне, Наявна кількість; Підтверджена кількість товару для відвантаження
MINIMUMORDERQUANTITY, M, Число позитивне, Мінімальна кількість товару для замовлення
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDRSP**,,, Закінчення документа
