Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,,,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1,Заголовок (початок блоку)
НомерДокументу,М,Рядок (16),Номер документу
ТипДокументу,М,Рядок (50),Акт невідповідності
КодТипуДокументу,М,«009»,009
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
НомерЗамовлення,М,Рядок (20),Номер замовлення за документом
ДатаЗамовлення,М,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,М,,Місце складання документу
**Заголовок**,,,Заголовок (завершення блоку)
**Сторони**,М,Кількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),Допустимі значення: Юридична Фізична
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
GLN,М,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**,,,Контрагент (завершення блоку)
**Сторони**,,,"Сторони, між якими укладено документ (завершення блоку)"
Параметри,,,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,М,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Таблиця**,,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Integer (3),Номер позиції
АртикулПокупця,М,Рядок (10),Артикул покупця
Найменування,М,Рядок (50),Найменування товарної позиції
ЗаявленаКількість,М,Decimal (#.00),Заявлена кількість товарних позицій
ПрийнятаКількість,М,Decimal (#.00),Прийнята кількість товарних позицій
ОдиницяВиміру,М,Рядок (10),Одиниці виміру: шт. – штука; уп. – упаковка; л. – літр; послуга; кг. – кілограм; г. – грам...
БазоваЦіна,М,Decimal (#.00),Ціна за одиницю без ПДВ
Текст,М,Рядок (100),Додаткова інформація
**Рядок**,,,Рядок (завершення блоку)
**Таблиця**,,,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,,,Завершення документу
