Назва поля, Тип, Формат, Опис
**IFTMIN**,,, Початок документа
NUMBER, М, Рядок (16), "Номер документа; повинен бути наступного формату X_Y, де Х — це порядковий номер машини, яка їде по замовленню Y — це загальна кількість машин, яка поїде по замовленню (MIN - 1, MAX - 99). Х повинен < або = Y. Наприклад 2_5."
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, М, Час (год: хв), Час доставки
DOCTYPE, O, Рядок (1), "Тип документа:
O - оригінал,
R - заміна,
D - видалення,
F - фіктивність замовлення,
PO - попереднє замовлення,
OS - замовлення на послугу / маркетинг "
**DOCUMENT**,,, Дані про документи (початок блоку)
**DOCITEM**,,, Дані про документ (початок блоку)
DOCTYPE, М, Рядок (2), Допустиме значення «ON» - IFTMIN робиться на базі замовлення
DOCNUMBER, М, Рядок (16), Номер замовлення
**DOCITEM**,,, Дані про документ (закінчення блоку)
**DOCUMENT**,,, Дані про документи (закінчення блоку)
INSUARENCEVALUE, O, Число десяткове, Застрахована вартість
DECLAREDVALUE, O, Число десяткове, Задекларована ціна поставки
CASHONDELIVERY, O, Число десяткове, Сума оплати за фактом поставки
TOTALPACKAGES, O, Число десяткове, Загальна кількість упаковок
PLACEOFDESPATCH, O, Рядок (60), Назва місця відвантаження
CONSIGNORNUMBER, O, Рядок (16), Номер вантажовідправника
CUSTOMERNUMBER, O, Рядок (16), Номер замовника логістичних послуг
COMPAIGNNUMBER, O, Рядок (16), Номер договору
EQUIPMENTTYPE, O, Рядок (3), "Тип упаковки обладнання (палети, ...)"
EQUIPMENTQUANTITY, O, Число десяткове, Кількість обладнання
TOTALWEIGHT, O, Число десяткове, Загальна вага вантажу
TOTALWEIGHTUNITS, O, Рядок (3), Одиниця виміру
INFO, O, Рядок (70), Вільний текст
**HEAD**,,, Початок основного блоку
CONSIGNOR, M, Число (13), GLN вантажовідправника
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITIONS**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, "Число * 1, 100 +", Номер позиції
SSCC, M, Число (18), SSCC (Serial Shipping Container Code) - серійний код транспортної упаковки
PACKAGETYPE, М, Рядок (3), Тип упаковки
PACKAGEQUANTITY, М, Число десяткове, Кількість упаковок
PACKAGEQUANTITYUNITS, O, Рядок (3), Одиниця виміру
PACKAGEWIGHT, М, Число десяткове, Вага
PACKAGEWEIGHTUNITS, O, Рядок (3), Одиниця виміру
DELIVERYPLACE, M, Число (13), GLN місця доставки позиції
DESCRIPTION, O, Рядок (70), Опис продукту
INFO, O, Рядок (70), Вільний текст
PRODUCTIDBUYER, O, Рядок (35), Артикул в БД покупця
MAXPACKAGEQUANTITY, М, Число десяткове, Максимальна кількість упаковок
**POSITIONS**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**IFTMIN**,,, Закінчення документа
