Назва поля, Тип, Формат, Опис
**ACT**,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
PERIOD, М, Дата (РРРР-ММ-ДД), Період
CAMPAIGNNUMBER, М, Рядок (16), Номер договору на поставку
POSITIONSAMOUNT, М, Число десяткове, Сума по всіх позиціях без ПДВ
VATSUM, М, Число десяткове, Сума ПДВ
TOTALAMOUNT, М, Число десяткове, Загальна сума з ПДВ
CURRENCY, М, Рядок (3), Код валюти
DOCTYPE, М, Рядок (1),"Тип документа: O - оригінал, R - заміна, D - видалення"
INFO, О, Рядок (70), Інформація
**HEAD**,,, Початок основного блоку
PERFORMER, М, Число (13), GLN виконавця
PERFORMERNAME, О, Рядок (70), Назва виконавця
PERFORMERNDSNUMBER, О, Рядок (35), Номер свід. ПДВ виконавця
PERFORMERFISCALNUMBER, О, Рядок (35), ІПН виконавця
PERFORMERREGISTRATIONNUMBER, О, Рядок (35), Номер реєстрації виконавця
PERFORMERDIRECTOR, О, Рядок (70), Відповідальний з боку виконавця
PERFORMERACCOUNT, О, Рядок (35), Код виконавця
PERFORMERTELEPHONE, О, Рядок (35), Телефон виконавця
PERFORMERADRESS, О, Рядок (70), Адреса виконавця
PERFORMERBANKNAME, О, Рядок (35), Назва банку виконавця
PERFORMERBANKNUMBER, О, Рядок (35), МФО банку виконавця
PERFORMERBANKACCOUNT, О, Рядок (35), Номер р/р виконавця
CUSTOMER, М, Число (13), GLN замовника
CUSTOMERNAME, О, Рядок (70), Назва замовника
CUSTOMERNDSNUMBER, О, Рядок (35), Номер свід.НДС замовника
CUSTOMERFISCALNUMBER, О, Рядок (35), ІПН замовника
CUSTOMERREGISTRATIONNUMBER, О, Рядок (35), Номер реєстрації замовника
CUSTOMERDIRECTOR, О, Рядок (70), Відповідальний від замовника
CUSTOMERACCOUNT, О, Рядок (35), Код замовника
CUSTOMERTELEPHONE, О, Рядок (35), Телефон замовника
CUSTOMERADRESS, О, Рядок (35), Адреса замовника
CUSTOMERBANKNAME, О, Рядок (35), Назва банку замовника
CUSTOMERBANKNUMBER, О, Рядок (35), МФО банку замовника
CUSTOMERBANKACCOUNT, О, Рядок (35), Номер р/р замовника
SENDER, М, Число (13), GLN відправника
RECIPIENT, М, Число (13), GLN одержувача
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М,"Число [* 1, 100]", Номер позиції
MATERIALASSETS, О, Рядок (70), Опис продукту
QUANTITY, O, Число позитивне, кількість товару
QUANTITYUNIT, O, Число позитивне, Кількість в упаковці
QUANTITYFORSPECIAL, O, Число позитивне, Кількість в спец.упаковці
PRICE, М, Число десяткове, Ціна за одиницю (без ПДВ)
PRICEFORSPECIAL, O, Число позитивне, Ціна спец.укпаковки (без ПДВ)
AMOUNT, М, Число десяткове, Сума товару (без ПДВ)
PENALTYAMOUNT, О, Число десяткове, Сума штрафу
TOTALAMOUNT, О, Число десяткове, "Загальна ціна продукції, що поставляється"
TAXRATE, М, Число (3),"Ставка податку (ПДВ,%)"
INFO, О, Рядок (70), Інформація
DATE, О, Дата (РРРР-ММ-ДД), Дата
SERVICEMADEDATE, О, Дата (РРРР-ММ-ДД), Дата надання послуги
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ACT**,,, Закінчення документа
