Назва поля, Тип, Формат, Опис
**ACTSET**,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
CURRENCY, М, Рядок (3), Код валюти
CAMPAIGNNUMBER, O, Рядок (16), Номер договору
CAMPAIGNDATE, O, Дата (РРРР-ММ-ДД), Дата договору
DIRECTOR, O, Рядок (60), Директор
MANAGER, O, Рядок (60), Менеджер
TOTALAMOUNT, М, Число десяткове, Сума за документом
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, "Число [* 1, 100 +]", Номер позиції
PRODUCTNAME, O, Рядок (70), Опис продукту
PRODUCT, M, Рядок (16), Найменування товару або послуги
AMOUNT, M, Число десяткове, Сума
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ACTSET**,,, Закінчення документа
