НАЗВА ПОЛЯ, ТИП, ФОРМАТ, ОПИС
**AGREEM**, М,, Початок документа
NUMBER, М, Рядок (15), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
CONTRACTNUMBER, М, Рядок (20), Номер контракту
CONTRACTEXPIRYDATE, М, Дата (РРРР-ММ-ДД), Дата закінчення дії контракту
CAMPAIGNNUMBER, М, Рядок (20), Номер договору
CAMPAIGNDATE, М, Дата (РРРР-ММ-ДД), Дата закінчення дії договору
DOCSTARTDATE, М, Дата (РРРР-ММ-ДД), Дата початку дії нової ціни
DOCENDDATE, М, Дата (РРРР-ММ-ДД), Дата закінчення дії нової ціни
PRICETYPE, М,, "підтип документа (дія)
* Regular - змінити регулярну ціну
* Promo - змінити промо ціну
* DelSKU - вивести товар з асортименту
* PrestopSKU - тимчасово призупинити поставку "
DOCACTION, М, Число (1), ознака документа (2 - підтвердження)
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN продавця
BUYER, M, Число (13), GLN покупця
RECIPIENT, O, Рядок (35), GLN одержувача
SENDER, M, Число (13), GLN відправника
ATTACHMENT,,, Вкладення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер позиції в документі
PRODUCT, M, Рядок (20), Штрихкод продукту
PRODUCT_NAME, М,, Найменування
PRODUCTIDBUYER, М, Рядок (15), Артикул покупця
POSITIONIDBUYER, М,, id товарної позиції
DESCRIPTION, M,, Опис продукту
PRICEWITHOUTVAT, М,, Ціна без ПДВ
PRICEWITHVAT, M,, Ціна з ПДВ
PRICEWITHOUTVAT_CHNG, О,, Нова ціна без ПДВ
PRICEWITHVAT_CHNG, M,, Нова ціна з ПДВ
DIFFPRICE, M,,% зміни ціни
DISCOUNTPRICEWITHOUTVAT, O,, Ціна зі знижкою без ПДВ
DISCOUNTPRICEWITHVAT, O,, Ціна зі знижкою з ПДВ
DISCOUNTVAL, O,,% знижки
DISCOUNTPRICEWITHOUTVAT_CHNG, O,, Нова ціна зі знижкою без ПДВ
DISCOUNTPRICEWITHVAT_CHNG, O,, Нова ціна зі знижкою з ПДВ
DIFFDISCOUNTPRICE, O,,% зміни ціни зі знижкою
DISCOUNTVAL_CHNG, O,,% нової знижки
PROMO, O, Рядок (70), промоціна
PROMOWITHVAT, O,, промоціна з ПДВ
PROMODISCOUNT, O, Дата (РРРР-ММ-ДД),% промознижки
POSITIONACTION, O,, Поставка не пізніше зазначеного часу
VAT, О,, "Ставка ПДВ,%"
UNIT, O,, `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
STATUS, M,, Прийняти/відхилити
**OCERTS**, O,, Сертифікат/-и (початок блоку)
CERT_NUM, O, Рядок (16), № сертифіката
CERT_TYPE,,, Тип сертифіката
BATCH,, Рядок (35), Серійний номер сертифікату
START_DATE, O, Дата (РРРР-ММ-ДД), Дата початку сертифіката
END_DATE, O, Дата (РРРР-ММ-ДД), Дата закінчення сертифіката
URL,,, посилання
**OCERTS**,,, Сертифікат/-и (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**AGREEM**,,, Закінчення документа
