Назва поля, Тип, Формат, Опис
**COACSU**,,, Початок документа
ACTION, О, "« 49E »,« 397 »", "49E - оригінал документа,
397 - документ у відповідь"
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
COACSUNUMBER, О, Рядок (16), "Номер Акта звірки, за яким йде підтвердження"
**PERIOD**,,, Період (початок блоку)
FROMDATE, М, Дата (РРРР-ММ-ДД), Дата початку періоду
FROMTIME, O, Час (год: хв), Час початку періоду
TODATE, M, Дата (РРРР-ММ-ДД), Дата кінця періоду
TOTIME, O, Час (год: хв), Час кінця періоду
**PERIOD**,,, Період (закінчення блоку)
**CONTACTS**,,, Контакти (початок блоку)
CONTACTCODE, O, Рядок (16), "ОС - менеджер, SA - директор"
NAME, О, Рядок (35), Ім'я контакту
EMAIL, О, Рядок (35), Електронна адреса
**CONTACTS**,,, Контакти (закінчення блоку)
OPENINGBALANCE, O, Число десяткове, Початкове сальдо
CLOSINGBALANCE, O, Число десяткове, Закриття балансу
PAYABLEAMOUNT, O, Число десяткове, Сальдо по товарах
RETURNABLEPACAMOUNT, О, Число десяткове, Сальдо тари
CURRENCY, O, Рядок (3), Код валюти
CARRIERNAME, O, Рядок (3), Назва перевізника/постачальника
CARRIERINN, O, Число (12), ІПН перевізника/постачальника
INFO, O, Рядок (70), Додаткова інформація
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, "Число * 1, 100]", Номер позиції
DOCNUMBER, M, Рядок (16), Номер документа
PRODUCTIONCODE, О, Рядок (16), Код алкогольної продукції
PRODINN, O, Число позитивне, ІПН виробника/імпортера
PARTYNAME, О, Рядок (70), Назва виробника
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
LICENSE, О, Рядок (70), "Серія, номер ліцензії"
LICGIVEN, М, Рядок (70), Ким видано ліцензію
LICSTART, М, Дата (РРРР-ММ-ДД), Дата початку дії ліцензії
LICEND, М, Дата (РРРР-ММ-ДД), Дата закінчення дії ліцензії
COUNTRYORIGIN, О, Рядок (2), Країна виробник
CUSTOMSTARIFFNUMBER, О, Рядок (30), Номер державної митної декларації (ВМД)
VOLUME, О, Число позитивне, Об`єм
VOLUMEUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
DOCDATE, M, Дата (РРРР-ММ-ДД), Дата документа
DOCNAME, O, Рядок (7), Тип документа
DOCTYPE, O, Рядок (1), "Тип документа: O - оригінал,
R - заміна,
D - видалення "
LOCATION, O, Число (13), GLN точки продажу
PAYMENTNUMBER, O, Рядок (16), Номер платіжного документа
PAYBLEAMOUNT, О, Число десяткове, Сума до оплати
PAIDAMOUNT, M, Число десяткове, Сплачена сума
RETURNABLEPACAMOUNT, О, Число десяткове, Сума тари на повернення
INCOMINGPACAMOUNT, О, Число десяткове, Сума прибуткової тари
DESCRIPTION, О, Рядок (70), Опис
CAMPAIGNNUMBER, О, Рядок (16), Номер договору на поставку
RECADVNUMBER, O, Рядок (16), Номер пов. про прийом
RECADVDATE, O, Дата (РРРР-ММ-ДД), Дата пов. про прийом
DELIVERYNOTENUMBER, О, Рядок (16), Номер накладної
INVOICEAMOUNT, О, Число десяткове, Сума накладної
ACTION, О, "« 1 »,« 8 »", "1 - позиція прийнята,
8 - не прийнята "
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**COACSU**,,, Закінчення документа
