Назва поля, Тип, Формат, Опис
COMDIS,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DOCNAME, М, Рядок (7), Тип документа
DOCNUMBER, М, Рядок (16), Номер рахунку
DOCDATE, О, Дата (РРРР-ММ-ДД), Дата рахунку
DOCACTION, М,"« 1 »,« 3 »,« 5 »,« 8 »","1 - рахунок прийнятий,
3 - умовно прийнятий,
5 - тільки для інформації, 8 - не прийнятий "
DELIVERYDATE, О, Дата (РРРР-ММ-ДД), Дата поставки
EARLIESTDELIVERY, О, Дата (РРРР-ММ-ДД), Найбільш рання дата доставки
ORDERNUMBER, О, Рядок (16), Номер замовлення
ORDERDATE, О, Дата (РРРР-ММ-ДД), Дата замовлення
DESADVNUMBER, О, Рядок (16), Номер пов. про відвантаження
RECADVNUMBER, O, Рядок (16), Номер пов. про прийом
**HEAD**,,, Початок основного блоку
BUYER, М, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
SENDER, М, Число (13), GLN відправника
RECIPIENT, М, Число (13), GLN одержувача
DELIVERYPLACE, М, Число (13), GLN доставки
**DETAILS**,,, Подробиці (початок блоку)
**LINE**,,, Рядок позиції (початок блоку)
DISPUTEDINLINE, М, Число позитивне, Номер позиції в рахунку
PRODUCT, О,"Число (8, 10, 14)", Штрихкод продукту
DESCRIPTION, О, Рядок (70), Опис продукту
AMOUNTSUBJECT, O, Число десяткове, Сума позиції
AMOUNTSUBJECTCURRENCY, О, Рядок (3), Код валюти
QUANTITY, О, Число позитивне, "Кількість, що поставляється"
UNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
PRICE, O, Число десяткове, Ціна продукту
**TAX**,,, Логістика (початок блоку)
TAXRATE, O, Число (3),"Ставка податку (ПДВ,%)"
TAXAMOUNT, O, Число десяткове, ПДВ
**TAX**,,, Логістика (закінчення блоку)
AMOUNTSUBJECTREASON, М, Рядок (3),"Причина дискусії:
1 - для інформації,
3 - товар був пошкоджений,
4 - недопоставка,
9 - помилка в накладній,
14 - неправильна поставка,
17 - ушкодження при транспортуванні,
26 - податки,
32 - товари не доставили,
35 - товари повернули,
56 - неправильна знижка,
10E - неправильний штрихкод "
INFO, O, Рядок (70), Вільний текст
**LINE**,,, Рядок позиції (початок блоку)
**DETAILS**,,, Подробиці (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**COMDIS**,,, Закінчення документа
