Назва поля, Тип [1]_, Формат, Опис
**DESADV**,,, Початок документа
NUMBER, M, Рядок (50), Номер повідомлення про відвантаження
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
VERSION, O, Ціле позитивне число, "Версія документа (на рівні одного ланцюжка документів). При заміні документа (номер документа зберігається) потрібно збільшувати значення на одиницю (n+1)"
DELIVERYDATE, M, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, O, Час (год: хв), Час поставки
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
ORDRSPNUMBER, O, Рядок (16), Номер підтвердження замовлення
ORDRSPDATE, O, Дата (РРРР-ММ-ДД), Дата підтвердження замовлення
DELIVERYNOTENUMBER, M, Рядок (16), Номер накладної
DELIVERYNOTEDATE, M, Дата (РРРР-ММ-ДД), Дата накладної
RECIPTYPE, О, Рядок (1),"Доступні значення:
0 - «Пряма поставка на АТБ» (за замовчуванням),
1 - «Поставка зі складів Логістик Юніон». "
SUPPLIERORDENUMBER, O, Рядок (35), Номер замовлення в обліковій системі постачальника
SUPPLIERORDERDATE, O, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
INFO, O, Рядок (70), Вільний текст
WAYBILLNUMBER, O, Рядок (70), Номер транспортної накладної
WAYBILLDATE, O, Дата (РРРР-ММ-ДД), Дата транспортної накладної
PAYMENTTERM, O, Дата (РРРР-ММ-ДД), Кінцева дата оплати товару
SHIPMENTS, O, Рядок (1), Перевезення
CAMPAIGNNUMBER, O, Рядок (70), Номер договору на поставку
CAMPAIGNNUMBERDATE, O, Дата (РРРР-ММ-ДД), Дата договору
TRANSPORTQUANTITY, O (O/M для Розетка), Число позитивне, "Кількість машин. :green:`Для Розетка:` Загальна кількість повідомлень про відвантаження на замовлення. Якщо одне з полей TRANSPORTID чи TRANSPORTQUANTITY заповнено, то інше автоматично є обов'язковим."
TRANSPORTMARK, O, Рядок (70), Марка машини
