Назва поля, Тип, Формат, Опис
**IFTMBC**,,, Початок документа
NUMBER, M, Рядок (16), Номер підтвердження замовлення
DATE, O, Дата (РРРР-ММ-ДД), Дата підтвердження замовлення
TIME, O, Час (год: хв), Час підтвердження замовлення
VERSION, O, Число десяткове, версія підтвердження замовлення
IFTMBFNUMBER, M, Рядок (16), Номер замовлення
IFTMBFDATE, O, Дата (РРРР-ММ-ДД), Дата замовлення
IFTMBFTIME, O, Час (год: хв), Час замовлення
IFTMBFVERSION, O, Число десяткове, версія замовлення
**HEAD**,,, Початок основного блоку
ORDEREDBY, О, Число (13), GLN замовника транспортування
LOGISTICPROVIDER, О, Число (13), GLN провайдера логістичних послуг
CONSIGNEE, О, Число (13), GLN вантажоодержувача
CONSIGNOR, O, Число (13), GLN вантажовідправника
CONSIGNORNAME, O, Рядок (70), Ім'я вантажовідправника
CONSIGNORCOUNTRY, O, Рядок (2), Країна вантажовідправника (Код країни за стандартом ISO-3166 (2 букви))
CONSIGNORCITY, O, Рядок (35), Місто вантажовідправника
CONSIGNORADRESS, O, Рядок (70), Адреса вантажовідправника
CONSIGNORCONTACTFACE, O, Рядок (70), Контактна особа вантажовідправника
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
CARRIERAGENTNAME, O, Рядок (70), Назва агента перевізника
CARRIERAGENTADRESS, O, Рядок (150), Адреса агента перевізника
CARRIERAGENTADRESSABROAD, O, Рядок (150), Адреса агента перевізника за кордоном
**EQUIPMENTDETAILS**,,, Дані по транспорту (початок блоку)
NUMBER, O, Число позитивне, номер позиції (контейнера)
EQUIPMENTTYPE, O, "Рядок (2, 3)", СN - контейнер
EQUIPMENTCODE, O, Рядок (4), Розмір і тип контейнера (ISO 6346)
EQUIPMENTID, O, Стоку (13), Номер контейнера
EQUIPMENTDESCRIPTION, O, Стоку (70), Опис контейнера (вимоги)
**TRANSPORTMEANS**,,, Дані про транспортний засіб (початок блоку)
TRANSPORTID, O, Стоку (10), Номер транспортного засобу
TRANSPORTTRAILERID, O, Стоку (10), Номер причепа транспортного засобу
DRIVERNAME, O, Стоку (70), ПІБ водія ТЗ
DRIVERPHONE, O, Стоку (40), Телефон водія ТЗ
**TRANSPORTMEANS**,,, Дані про транспортний засіб (закінчення блоку)
**EQUIPMENTDETAILS**,,, Дані по транспорту (закінчення блоку)
SEALINE, O, Рядок (16), Номер лінії
LADINGBILLNUMBER, O, Рядок (16), Номер коносамента
CUSTOMSCODE, O, Рядок (16), Код митного поста
**CARGOEVENTS**,,, Події про перевезення (початок блоку)
NUMBER, O, Число позитивне, номер позиції (події)
TRANSPORTTYPE, O, "Рядок (2,3)", "Тип транспорту:
10 - морський,
20 - залізничний,
30 - автомобільний,
40 - повітряний,
50 - змішаний,
80 - річковий,
100 - кур'єрська доставка "
TRANSPORTNAME, O, Стоку (70), Назва транспорту/судна
CARGOEVENT, O, "Рядок (2,3)", "Тип події:
CL - погрузка/готовність вантажу до відправлення (CargoLoaded)
CMD - відправлення вантажу за основним маршрутом (CargoMainDeparture)
CTA - прибуття вантажу в проміжну точку (CargoTransshipmentArrival)
CTD - відправлення вантажу з проміжної точки (CargoTransshipmentDeparture)
CMA - прибуття вантажу за основним маршрутом (CargoMainArrival)
CD - доставка вантажу в кінцеву точку (CargoDelivery)
EER - повернення порожнього обладнання (EmptyEquipmentReturn) "
CARGOLOCATION, O, Стоку (13), GLN місця події
CARGOLOCATIONNAME, O, Рядок (70), Назва місця події
CARGOEVENTDATE, O, Дата (РРРР-ММ-ДД), Дата події
CARGOEVENTTIME, O, Час (год: хв), Час події
CARGOEVENTINFO, O, Рядок (70), Додаткова інформація
**CARGOEVENTS**,,, Події про перевезення (закінчення блоку)
ACTION, O, Стоку (2), "Дія:
01 - заявка відхилена (подальші дії по ланцюжку неприпустимі)
09 - заявка прийнята (подальші дії по ланцюжку неприпустимі) "
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, O, Число позитивне, номер позиції
DELIVERYPLACE, M, Число (13), Місце доставки
DELIVERYDATE, O, Дата (РРРР-ММ-ДД), Дата доставки позиції
DELIVERYTIME, O, Час (год: хв), Час доставки позиції
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**IFTMBC**,,, Закінчення документа
