Назва поля, Тип, Формат, Опис
**IFTMIN**,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, О, Час (год: хв), Час доставки
DOCTYPE, О, Рядок (1), "Тип документа: O - оригінал, R - заміна, D - видалення"
**DOCUMENT**,,, Дані про документи (початок блоку)
**DOCITEM**,,, Дані про документ (початок блоку)
DOCTYPE, О, Рядок (2), Тільки для ТМ Фоззі: *ON* - IFTMIN робиться на базі замовлення
DOCNUMBER, О, Рядок (16), Номер документа перевізника
**DOCITEM**,,, Дані про документ (закінчення блоку)
**DOCUMENT**,,, Дані про документи (закінчення блоку)
INSUARENCEVALUE, O, Число десяткове, Застрахована вартість
DECLAREDVALUE, O, Число десяткове, Задекларована ціна поставки
CASHONDELIVERY, O, Число десяткове, Сума оплати за фактом поставки
TOTALPACKAGES, O, Число десяткове, Загальна кількість упаковок
PLACEOFDESPATCH, O, Рядок (60), Назва місця відвантаження
CONSIGNORNUMBER, O, Рядок (16), Номер вантажовідправника
CUSTOMERNUMBER, O, Рядок (16), Номер замовника логістичних послуг
COMPAIGNNUMBER, O, Рядок (16), Номер договору
EQUIPMENTTYPE, O, Рядок (3), "Тип упаковки обладнання (палети, ...)"
EQUIPMENTQUANTITY, O, Число десяткове, Кількість обладнання
TOTALWEIGHT, O, Число десяткове, Загальна вага вантажу
TOTALWEIGHTUNITS, O, Рядок (3), Одиниця виміру
INFO, O, Рядок (70), Вільний текст
**HEAD**,,, Початок основного блоку
CONSIGNOR, M, Число (13), GLN вантажовідправника
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITIONS**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, "Число * 1, 100 +", Номер позиції
SSCC, M, Число (18), SSCC (Serial Shipping Container Code) - серійний код транспортної упаковки
PACKAGETYPE, O, Рядок (3), Тип упаковки
PACKAGEQUANTITY, O, Число десяткове, Кількість упаковок
PACKAGEQUANTITYUNITS, O, Рядок (3), Одиниця виміру
PACKAGEWIGHT, O, Число десяткове, Вага
PACKAGEWEIGHTUNITS, O, Рядок (3), Одиниця виміру
DELIVERYPLACE, M, Число (13), Місце доставки позиції
DESCRIPTION, O, Рядок (70), Опис продукту
INFO, O, Рядок (70), Вільний текст
PRODUCTIDBUYER, O, Рядок (35), Артикул в БД покупця
MAXPACKAGEQUANTITY, O, Число десяткове, Максимальна кількість упаковок
**POSITIONS**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**IFTMIN**,,, Закінчення документа
