Назва поля, Тип, Формат, Опис
**INSDES**,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
TIME, О, Час (год: хв), Час документа
DELIVERYDATE, О, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, О, Час (год: хв), Час доставки
DELIVERYINFO, О, Рядок (70), Інформація з доставки
ORDERNUMBER, О, Рядок (16), Номер замовлення
ORDERDATE, О, Дата (РРРР-ММ-ДД), Дата замовлення
CAMPAIGNNUMBER, О, Рядок (35), Номер договору на поставку
AMOUNT, О, Число десяткове, Ціна
CURRENCY, О, Рядок (3), Код валюти
**CONTACT**,,, Контактна інформація (початок блоку)
NAME, О, Рядок (70), Ім'я
EMAIL, О, Рядок (70), Електронна пошта
FAX, О, Рядок (70), Факс
TELEPHONE, О, Рядок (70), Телефон
**CONTACT**,,, Контактна інформація (закінчення блоку)
TRANSPORTTYPE, О,Рядок (3),"Тип транспортування:
20 - залізничний,
30 - дорожній,
40 - повітряний,
60 - спарений,
100 - кур'єрська служба"
TOTALAMOUNT, О, Число десяткове, "Загальна ціна продукції, що поставляється"
CURRENCY, О, Рядок (3), Код валюти
**HEAD**,,, Початок основного блоку
ORDEREDBY, М, Число (13), Замовник
LOGISTICPROVIDER, М, Число (13), Провайдер логістичних послуг
SUPPLIER, О, Число (13), Постачальник
BUYER, О, Число (13), Покупець
DELIVERYPLACE, M, Число (13), Місце доставки
SENDER, M, Число (13), Відправник
RECIPIENT, M, Число (13), Одержувач
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер позиції
PRODUCT, М,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, О, Рядок (35), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (35), Артикул в БД покупця
QUANTITY, М, Число позитивне,"кількість, що поставляється"
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
QUANTITYUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
SSCC, О,"Число (14, 18)", Штрих-код транспортної упаковки
AMOUNT, О, Число десяткове, Ціна
DELIVERYDATE, О, Дата (РРРР-ММ-ДД), Дата доставки даної продукції
DELIVERYTIME, О, Час (год: хв), Час доставки
DELIVERYPLACE, M, Число (13), Місце доставки
INFO, О, Рядок (70), Примітка
PRICE, O, Число десяткове, Ціна продукту
PRICE, O, Число десяткове, Ціна продукту
VAT, O, Число позитивне,"Ставка ПДВ,%"
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**INSDES**,,, Закінчення документа
