Назва поля, Тип, Формат, Опис
**INVRPT**,,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
CAMPAIGNNUMBER, O, Рядок (70), Номер договору на поставку
**INVENTORYPERIOD**,,, Період інвентаризації (початок блоку)
FROMDATE, М, Дата (РРРР-ММ-ДД), Дата з
FROMTIME, О, Час (год: хв), Час з
TODATE, М, Дата (РРРР-ММ-ДД), Дата за
TOTIME, О, Час (год: хв), Час по
**INVENTORYPERIOD**,,, Період інвентаризації (закінчення блоку)
**CONTACTFACE**,,, Контактна інформація (початок блоку)
NAME, O, Рядок (70), Ім'я
TELEPHON, O, Рядок (70), Телефон
FAX, O, Рядок (70), Факс
EMAIL, O, Рядок (70), Електронна пошта
**CONTACTFACE**,,, Контактна інформація (закінчення блоку)
CURRENCY, O, Рядок (3), Код валюти
TIME, O, Час (год: хв), Час створення документа
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
HEADOFFICE, O, Число (13), GLN головного офісу продавця
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
DELIVERYPLACE, M, Число (13), GLN місця доставки
VENDORCODE, О, Рядок (35), Код виробника
SENDERMAIL, О, Рядок (70), Електронна пошта відправника
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне, Номер позиції
PRODUCT, M, "Число (8, 10, 14)", Штрих-код продукту
LOCATION, O, Число (13), GLN місця продажу
LOCATIONTYPE,,,
PRODUCTIDSUPPLIER, O, Рядок (35), Артикул в БД постачальника
PRODUCTIDBUYER, O, Рядок (35), Артикул в БД покупця
PRODUCTIDMDLS, O, Рядок (35), Артикул в БД складу
PRODUCTNAME, O, Рядок (70), Опис продукту
ACTUALQUANTITY, M, Число позитивне, Фактична кількість
ACTUALUNITS, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
ACTUALQUANTITYEND, O, Число позитивне, Загальний залишок на кінець
SOLDQUANTITY, O, Число позитивне, Продана кількість
SOLDUNITS, O, Рядок (3), Одиниця виміру
RECEIVEDQUANTITY, O, Число позитивне, Прийнята кількість
RECEIVEDUNITS, O, Рядок (3), Одиниця виміру
DELIVEREDQUANTITY, O, Число позитивне, Відвантажено
CORRECTIONQUANTITY, O, Число позитивне, Відкоригована кількість
CORRECTIONQUANTITYEND, O, Число ціле, Доступний залишок на кінець
CORRECTIONUNITS, O, Рядок (3), Одиниця виміру
DAMAGEDQUANTITY, O, Число позитивне, Пошкоджена кількість
DAMAGEDUNITS, O, Рядок (3), Одиниця виміру
PRICE, O, Число десяткове, Ціна продукту
PRICEUNITS, О, Рядок (3), Одиниця виміру
CONDITIONSTATUSINFO, О, Рядок (70), Опис статусу кондиції
CONDITIONSTATUS, О, Рядок (3), Статус кондиції
PACKAGEID, O, Рядок (15), Партія товару
SOLDQUANTITYEU, О, Число позитивне, Продана кількість
BACKORDERS, О, Число позитивне, Невиконані продажі
TOTALSELLINQUANTITY, О, Число позитивне, Всього товару
SELLINQUANTITY, О, Число позитивне, Кількість в продажу
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**INVRPT**,,, Закінчення документа
