Назва поля, Тип, Формат, Опис
**INVOICE**,,, Початок документа
DOCUMENTNAME, М, Рядок (16), Назва документа (380 - Рахунок)
NUMBER, М, Рядок (16), Номер рахунку
DATE, М, Дата (РРРР-ММ-ДД), Дата створення рахунку
INVOICENUMBER,,Рядок (16), номер ТН (номер RECADV)
INVOICEDATE,,Дата (РРРР-ММ-ДД), дата ТН
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
DELIVERYTIME, O, Час (год: хв), Час поставки
CURRENCY, М, Рядок (3), Код валюти
ORDERNUMBER, М, Рядок (50), Номер замовлення
ORDERDATE, М, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYNOTENUMBER, М, Рядок (16), Номер накладної
DELIVERYNOTEDATE, М, Дата (РРРР-ММ-ДД), Дата накладної
RECADVNUMBER, O, Рядок (16), Номер пов. про прийом
RECADVDATE, O, Дата (РРРР-ММ-ДД), Дата пов. про прийом
REFERENCEINVOICENUMBER, O, Рядок (15), Номер рахунку
REFERENCEINVOICEDATE, O, Дата (РРРР-ММ-ДД), Дата рахунку
GOODSTOTALAMOUNT, М, Число десяткове, Всього без ПДВ
POSITIONSAMOUNT, М, Число десяткове, Всього по позиціях
VATSUM, М, Число десяткове, Сума ПДВ
INVOICETOTALAMOUNT, М, Число десяткове, Сума за рахунком
TAXABLEAMOUNT, М, Число десяткове, База оподаткування
DISCOUNTAMOUNT, О, Число позитивне, Сума знижки
CONDITIONSAMOUNT, О, Число позитивне, Узгоджена сума оплати
FREIGHTCHARGE, О, Число позитивне, Плата за перевезення вантажу
PAYMENTORDERNUMBER, О, Рядок (35), Номер платіжно-розрахункового документа або зеленої марки
FISCALNUMBER, О, Рядок (35), ІПН
REGISTRATIONNUMBER, О, Рядок (35), ЄДРПОУ
VATNUMBER, О, Рядок (16), Номер свід. ПДВ
CAMPAIGNNUMBER, О, Рядок (16), Номер договору на поставку
MANAGER, О, Рядок (35), Ім'я менеджера
ACCOUNTING, О, Рядок (35), Ім'я головного бухгалтера
VAT, М, Число позитивне, "Ставка ПДВ,%"
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
SUPPLIERNAME, O, Рядок (70), Ім'я постачальника
SUPPLIERADRESS, O, Рядок (70), Адреса постачальника
SUPPLIERCITY, O, Рядок (70), Місто постачальника
SUPPLIERZIP, O, Рядок (35), Індекс постачальника
BUYER, М, Число (13), GLN покупця
BUYERID,,,
BUYERNAME, O, Рядок (35), Ім'я покупця
BUYERADRESS, O, Рядок (35), Адреса покупця
BUYERCITY, O, Рядок (35), Місто покупця
BUYERZIP, O, Число позитивне, Індекс покупця
BUYERINN, O, Число позитивне, ІПН покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
CONSEGNOR, О, Число (13), GLN вантажовідправника
INVOICEPARTNER, O, Число (13), GLN платника
INVOICEPARTNERINN, O, Число позитивне, ІПН платника
FINALRECIPIENT, O, Число (13), GLN кінцевого консигнатора
ORDERPARTNER, O, Число (13), GLN замовника
CONSEGNOR, О, Число (13), GLN вантажовідправника
CONSEGNORNAME, O, Рядок (35), Ім'я вантажовідправника
CONSEGNORADRESS, O, Рядок (35), Адреса вантажовідправника
CONSEGNORCITY, O, Рядок (35), Місто вантажовідправника
CONSEGNORZIP, O, Число позитивне, Індекс вантажовідправника
CONSIGNEE, О11, Число (13), GLN вантажоодержувача
CONSIGNEENAME, O, Рядок (35), Ім'я вантажоодержувача
CONSIGNEEADRESS, O, Рядок (35), Адреса вантажоодержувача
CONSIGNEECITY, O, Рядок (35), Місто вантажоодержувача
CONSIGNEEZIP, O, Число позитивне, Індекс вантажоодержувача
CONSIGNEEINN, O, Число позитивне, ІПН вантажоодержувача
SENDER, М, Число (13), GLN відправника повідомлення
RECIPIENT, М, Число (13), GLN одержувача повідомлення
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
BANKNAME, O, Рядок (70), Найменування банку
BANKMFONUMBER, О, Число (6), МФО банку
BANKACCOUNT,, Рядок (35), Номер р/р
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, "Число * 1, 100 +", Номер позиції.
PRODUCT, М, "Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
BUYERPARTNUMBER, О, Рядок (16), внутрішній системний номер артикулу в БД покупця
PRODINN, O, Число позитивне, ІПН виробника/імпортера
INVOICEDQUANTITY, М, Число позитивне, Кількість за рахунком
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
INVOICEDQUANTITYBEFORE,,,
INVOICEDQUANTITYAFTER,,,
INVOICEUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
UNITPRICEBEFORE,,,
UNITPRICEAFTER,,,
UNITPRICE, М, Число десяткове, Ціна за одиницю (без ПДВ)
ADVICEPRICE, O, Число десяткове, Рекомендована ціна (державою)
GROSSPRICE, O, Число десяткове, Ціна за одиницю з ПДВ
GROSSAMOUNT, O, Число десяткове, Сума з ПДВ
AMOUNT, М, Число десяткове, Сума товару (без ПДВ)
AMOUNTBEFORE,,,
AMOUNTAFTER,,,
AMOUNTWITHVAT, О, Число десяткове, Сума товару (з ПДВ)
AMOUNTWITHVATBEFORE,,,
AMOUNTWITHVATAFTER,,,
COUNTRYORIGIN, О, Рядок (2), Країна виробник
CUSTOMSTARIFFNUMBER, О, Рядок (35), Номер державної митної декларації (ВМД)
CUSTOMSTARIFFNUMBERDATE, О, Дата (РРРР-ММ-ДД), Дата ВМД
FOREIGNTRADECODE, О, Рядок (35), Код товара по УКТВЕД11 (для України)
DESCRIPTION, О, Рядок (70), Опис продукту
AMOUNTTYPE, М, Число (3), Службове поле
**TAX**,,, Податки (початок блоку)
FUNCTION, М, Число (1), "5 - мито, 6 - грошовий збір, 7 - податок"
TAXTYPECODE, М, Рядок (3), Код податку (ПДВ)
TAXRATE, М, Число (3), "Ставка податку (ПДВ,%)"
TAXAMOUNT, М, Число десяткове, ПДВ
TAXAMOUNTBEFORE,,,
TAXAMOUNTAFTER,,,
CATEGORY, М, Рядок (1), "S - стандартна, А - змішана, Z - нульовий збір"
**TAX**,,, Податки (закінчення блоку)
PRODUCTIONCODE,, Рядок (16), Код алкогольної продукції
**BOTTLING**,,, Партія розливу (початок блоку)
BOTTLINGNUMBER,, Число (2), Номер партії розливу
BOTTLINGDATE,, Дата (РРРР-ММ-ДД), Дата партії розливу
**BOTTLING**,,, Партія розливу (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**INVOICE**,,, Закінчення документа
