Назва поля, Тип [1]_, Формат, Опис
**Document-ProductCatalogue**,O,,Початок документа
**ProductCatalogue-Header**,O,,Початок основного блоку
ProductCatalogueNumber,M,Рядок (50),Номер каталогу продукції
ProductCatalogueDate,O,Дата (РРРР-ММ-ДД),Дата каталогу продукції
AdditionalAgreementDate,O,Дата (РРРР-ММ-ДД),Дата підписання додаткової угоди
ReviewDeadlineDate,M,Дата (РРРР-ММ-ДД),Термін подачі на перегляд
ContractNumber,O,Рядок (10),Номер контракту
ContractDate,O,Дата (РРРР-ММ-ДД),Дата контракту
ContractGLN,M,Число (13),GLN контракту
ContractDescription,O,Рядок (10),Область закупівель
DocumentFunctionCode,M,Рядок (2),Функціональний код документа. Допустимі значення: 7B
MessageType,O,Рядок (25),"Назва типу документа (7A, цінова специфікація, 7Б...)"
**SpecialServices**,O,,Спеціальні послуги (початок блоку)
**SpecialService**,O,,Спеціальна послуга (початок блоку)
ServiceNumber,O,Рядок (20),Код послуги
ServiceName,O,Рядок (250),Опис послуги
ContractDescription,O,Рядок (10),Область закупівель
ItemCategoryNumber,O,Рядок (10),Визначена група артикулів
PeriodStartDate,O,Дата (РРРР-ММ-ДД),Початок періоду вистевлення послуги
PeriodEndDate,O,Дата (РРРР-ММ-ДД),Кінець періоду виставлення послуги
ReviewDeadlineDate,M,Дата (РРРР-ММ-ДД),Термін подачі на перегляд
InvoicingPeriod,O,Рядок (72),Дата виставлення рахунку чи періодичність виставлення рахунків
ConditionMethod,O,Рядок (172),"Спосіб визначення вартості послуги, що належить до сплати"
**ConditionModels**,O,,Моделі умов (початок блоку)
**ConditionModel**,O,,Модель умови (початок блоку)
ConditionValue,O,Число з плаваючою точкою (2 знаки після коми),Величина % в залежності від величини досягнутого товарообороту
TurnoverScale,O,Число з плаваючою точкою (2 знаки після коми),Необхідна сума досягнення товарообігу у грн.
Interpolation,O,Рядок (10),"Використовувати інтерполяцію (так\ні). Допустимі значення:

* Yes
* No"
**ConditionModel**,O,,Модель умови (закінчення блоку)
**ConditionModels**,O,,Моделі умов (закінчення блоку)
**SpecialService**,O,,Спеціальна послуга (закінчення блоку)
**SpecialServices**,O,,Спеціальні послуги (закінчення блоку)
**ProductCatalogue-Header**,O,,Закінчення основного блоку
**ProductCatalogue-Parties**,O,,Блок контрагентів (початок блоку)
**Buyer**,O,,Блок покупця (початок блоку)
ILN,M,Число (13),GLN покупця (Метро)
Name,O,Рядок (250),Назва (Метро)
CityName,O,Рядок (250),Назва міста (Метро)
StreetAndNumber,O,Рядок (250),Назва вулиці та номер (Метро)
PhoneNumber,O,Рядок (35),Номер телефону
**Buyer**,O,,Блок покупця (закінчення блоку)
**Seller**,O,,Блок продавця (початок блоку)
ILN,M,Число (13),GLN продавця
Name,O,Рядок (250),Назва продавця
**Seller**,O,,Блок продавця (закінчення блоку)
**Sender**,O,,Блок відправника (початок блоку)
ILN,M,Число (13),GLN відправника
**Sender**,O,,Блок відправника (закінчення блоку)
**Receiver**,O,,Блок отримувача (початок блоку)
ILN,M,Число (13),GLN отримувача
**Receiver**,O,,Блок отримувача (закінчення блоку)
**DeliveryPoint**,O,,Блок точки доставки (початок блоку)
ILN,O,Число (13),GLN точки доставки. Значення вказується для всіх ТЦ
DeliveryPlace,O,Число (3),Код точки доставки. Значення вказується для конкретного ТЦ
**DeliveryPoint**,O,,Блок точки доставки (закінчення блоку)
**ProductCatalogue-Parties**,O,,Блок контрагентів (закінчення блоку)
**ProductCatalogue-Lines**,O,,Таблична частина (початок блоку)
**Line**,O,,Рядок (початок блоку)
**Line-Item**,O,,Позиція (початок блоку)
LineNumber,O,Рядок (5),Номер позиції
ServiceNumber,O,Рядок (20),Код послуги
ServiceName,O,Рядок (250),Опис послуги
ItemCategoryNumber,O,Рядок (10),Номер категорії позиції
ContractDescription,O,Рядок (10),Область закупівель
PeriodStartDate,O,Дата (РРРР-ММ-ДД),Початок періоду виставлення послуги
PeriodEndDate,O,Дата (РРРР-ММ-ДД),Кінець періоду виставлення послуги
ReviewDeadlineDate,M,Дата (РРРР-ММ-ДД),Термін подачі на перегляд
InvoicingPeriod,O,Рядок (72),Дата виставлення рахунку чи періодичність виставлення рахунків
InvoicingDate,O,CCYY-MM-DD,Дата рахунку
ConditionMethod,O,Рядок (172),"Спосіб визначення вартості послуги, що належить до сплати"
Amount,O,Число з плаваючою точкою (2 знаки після коми),Сума
Currency,O,Рядок (10),Валюта
Remarks,O,Рядок (172),Додаткова інформація          
**Line-Item**,,,Позиція (закінчення блоку)
**Line-Parties**,O,,Партії (початок блоку)
**Orderer**,O,,Блок замовника (початок блоку)
ILN,O,Число (13),GLN замовника. Значення вказується для всіх ТЦ
OrdererPlace,O,Число (3),Код точки доставки. Значення вказується для конкретного ТЦ
**Orderer**,O,,Блок замовника (закінчення блоку) 
**Line-Parties**,O,,Партії (закінчення блоку)
**Line**,O,,Рядок (закінчення блоку)
**ProductCatalogue-Lines**,O,,Таблична частина (закінчення блоку)
**ProductCatalogue-Summary**,O,,Підсумки (початок блоку)
TotalLines,O,Число (5),Кількість товарних позицій
**ProductCatalogue-Summary**,O,,Підсумки (закінчення блоку)
**Document-ProductCatalogue**,O,,Закінчення документа
