Назва поля, Тип, Формат, Опис
**MSCONS**,,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
COMPAIGNNUMBER, O, Рядок (70), Номер договору
**PERIOD**,,, Період звіту (початок блоку)
FROMDATE, O, Дата (РРРР-ММ-ДД), Дата з
FROMTIME, O, Час (год: хв), Час з
TODATE, O, Дата (РРРР-ММ-ДД), Дата за
TOTIME, O, Час (год: хв), Час по
**PERIOD**,,, Період звіту (закінчення блоку)
INFO, O, Число (13), Додаткова інформація
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
**LOCATION**,,, Місцезнаходження (початок блоку)
LOCATIONNUMBER, M, Число позитивне, Номер місця продажу
LOCATION, M, Число (13), GLN місця продажу
LOCATIONID, O, Рядок (35), Внутрішній код місця продажу
ORDERNUMBER, O, Рядок (35), Номер замовлення
ORDERDATE, O, Дата (РРРР-ММ-ДД), Дата замовлення
EXPDELIVERYDATE, O, Дата (РРРР-ММ-ДД), Очікувана дата поставки
FACTDELIVERYDATE, O, Дата (РРРР-ММ-ДД), Фактична дата поставки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне, Номер позиції
PRODUCT, M, "Число (8, 10, 14)", Штрих-код продукту
DESCRIPTION, O, Рядок (70), Опис
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, O, Рядок (16), Артикул в БД покупця
PRICE, O, Число десяткове, Ціна продукту
ORDEREDQUANTITY, M, Число позитивне, Замовлена ​​кількість
ORDERUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
DELIVEREDQUANTITY, O, Число позитивне, Відвантажено
PENALTYQUANTITY, O, Число позитивне, "Кількість товару, з якої виставлені штрафи"
PENALTYUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
PENALTYSUM, O, Число позитивне, Сума штрафу по позиції
PENALTYDESCRIPTION, O, Рядок (70), Опис штрафу
DELAYDAYS, O, Число позитивне, Кількість днів запізнення
**POSITION**,,, Товарні позиції (закінчення блоку)
**LOCATION**,,, Місцезнаходження (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**MSCONS**,,, Закінчення документа
