Назва поля, Тип, Формат, Опис
**ORDRSP**,,, Початок документа
NUMBER, M, Рядок (16), Номер підтвердження замовлення
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
TIME, O, Час (год: хв), Час створення документа
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYDATE, O, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, O, Час (год: хв), Час поставки
SHIPMENTDATE, O, Дата (РРРР-ММ-ДД), Дата відвантаження
CURRENCY, O, Рядок (3), Код валюти
**LIMES**,,, Деталі транспорту (початок блоку)
LIMESNAME, O, Рядок (70), Назва рампи
DATEFROM, O, Дата (РРРР-ММ-ДД), Дата прибуття транспорту
TIMEFROM, O, Час (год: хв), Час прибуття транспорту
DATETO, O, Дата (РРРР-ММ-ДД), Дата закінчення відвантаження
TIMETO, O, Час (год: хв), Час закінчення відвантаження
**LIMES**,,, Деталі транспорту (початок блоку)
VAT, O, Число позитивне,"Ставка ПДВ,%"
ACTION, О,"« 4 »,« 5 »,« 27 »,« 29 »","4 - поставка змінена, 5 - заміна документа, 29 - поставка прийнята, 27 - поставка не прийнята"
TOTALPACKAGES, O, Число десяткове, Кількість упаковок
TOTALPACKAGESSPACE, O, Число десяткове, Кількість місць для упаковок
TRANSPORTQUANTITY, O, Число позитивне, Кількість машин
DOCTYPE, О, Рядок (1),"Тип документа: O - оригінал, R - заміна, D - видалення"
SUPORDER, O, Рядок (35), Номер замовлення постачальника
KDKNUM, O, Рядок (35), Номер загального замовлення КДК
ORDRTYPE, O, Рядок (35), Тип замовлення
INFO, O, Рядок (70), Вільний текст
REASONINFO, O, Рядок (70), Додаткова інформація
CAMPAIGNNUMBER, O, Рядок (70), Номер договору
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
BUYERCODE, O, Рядок (35), Код покупця
SUPPLIER, M, Число (13), GLN постачальника
DELIVERYPLACE, M, Число (13), GLN місця доставки
FINALRECIPIENT, O, Число (13), GLN кінцевого консигнатора
INVOICEPARTNER, O, Число (13), GLN платника
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
CONSIGNEE, O, Число (13), GLN вантажоодержувача
RECIPIENTCODE, O, Рядок (35), Код отримувача
RECIPIENTNAME, O, Рядок (70), Ім'я одержувача
RECIPIENTCONTACTFACE, O, Рядок (70), Контактна особа
RECIPIENTPHONE, O, Рядок (35), Телефон одержувача
RECIPIENTCITY, O, Рядок (35), Місто одержувача
RECIPIENTADRESS, O, Рядок (70), Адреса одержувача
DELIVERYTERMS,,, Терміни доставки (в днях)
EDIINTERCHANGEID, O, Рядок (70),"Номер транзакції (Унікальний номер, що генерується відправником)"
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне,"Номер товарної позиції (Порядковий номер товарної позиції в документі (1, 2, 3, 4 ... n))"
PRODUCT, M,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDBUYER, O, Рядок (16), Артикул в БД покупця
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
ORDRSPUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
DESCRIPTION, O, Рядок (70), Опис продукту
PRICE, O, Число десяткове, Ціна продукту
PRICEWITHVAT, O, Число десяткове, Ціна продукту c ПДВ
DISCOUNT, О, Число позитивне, Знижка
VAT, O, Рядок (3),"Ставка ПДВ,%"
AMOUNT, O, Число десяткове, Сума товару без ПДВ
AMOUNTWITHVAT, O, Число десяткове, Сума товару з ПДВ
TAXAMOUNT, М, Число десяткове, ПДВ
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
PRODUCTTYPE, M,"« 1 »,« 2 »,« 3 »","1 - товар буде поставлений без змін,
2 - зміна замовленої кількості ,,,
3 - відмовлено в постачанні ,,,"
ORDEREDQUANTITY, M, Число позитивне, Замовлена кількість
ACCEPTEDQUANTITY, M, Число позитивне, Наявна кількість
MINIMUMORDERQUANTITY, O, Число позитивне, Мінімальна замовлена кількість
MAXIMUMORDERQUANTITY, О, Число позитивне, Максимально допустима відвантажувана кількість
INFO, O, Рядок (70), Вільний текст
CONDITIONSTATUS, О, Рядок (3), Статус кондиції
PACKAGEID, O, Число позитивне, Ідентифікатор упаковки
COUNTRYORIGIN, О, Рядок (2), Країна виробник
CALIBRE, О, Число позитивне, Калібр упаковки string (30)
**PACKING**,,, Упаковка (початок блоку)
PACKINGTYPE, O, Рядок (3), Тип упаковки
PACKINGQUANTITY, O, Число позитивне, Кількість упаковок
PACKINGUNIT, O, Число позитивне, Пакувальник
**PACKING**,,, Упаковка (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDRSP**,,, Закінчення документа
