Назва поля, Тип, Формат, Опис
**PARTIN**,,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата
CONTRACTNUMBER, M, Рядок (70), Номер договору
CONTRACTDATE, M, Дата (РРРР-ММ-ДД), Дата договору
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
**COMPANIES**,,, Адреса компанії (початок блоку)
PARTYQUALIFIER, M, Рядок (2),"Адреса компанії: СО - юридична, SU - фізична"
COMPANY, M, Число (13), GLN магазину
NAME, M, Рядок (35), Назва магазину
STREET, M, Рядок (70), Вулиця
BUILDING, M, Рядок (8), Номер будівлі
SECONDBUILDING, O, Рядок (8), Номер другої будівлі (якщо компанія займає кілька будівель)
FLATNUMBER, M, Рядок (8), Номер офісу
CITY, M, Рядок (35), Місто
ZIPCODE, M, Рядок (35), Індекс
COUNTRYCODE, M, Рядок (2), Код країни
FISCALNUMBER, M, Рядок (35), ІПН
REGISTRATIONNUMBER, M, Рядок (35), Код ЄДРПОУ
RCEO, M, Рядок (35), ЗКПО
SIC, M, Рядок (35), ЗКГНГ
GOVREFN, O, Рядок (35), ОДРН
OKVD, M, Рядок (35), Код КОАТУУ
EXECUTIVE,,, відповідальний співробітник
SPECINST,,,
**CONTACTS**,,, Контакти (початок блоку)
CONTACTCODE, M, Рядок (2),"ОС - менеджер, SA - директор"
NAME, O, Рядок (35), ПІБ
EMAIL, M, Рядок (70), Електронна пошта
FAX, O, Рядок (35), Факс
TELEPHONE, O, Рядок (35), Телефон
ADDITIONALNUMBER, O, Рядок (35), Додатковий номер
MOBILENUMBER, O, Рядок (35), Мобільний номер
WWW, O, Рядок (70), Сайт
**CONTACTS**,,, Контакти (закінчення блоку)
**RETAILCONTACTS**,,, Контакти з боку роздрібної мережі (початок блоку)
NAME, М, Рядок (35), ПІБ
EMAIL, М, Рядок (70), Електронна пошта
**RETAILCONTACTS**,,, Контакти з боку роздрібної мережі (закінчення блоку)
CURRACCOUNT, М, Рядок (35), Розрахунковий рахунок
BENEFICIARY, М, Рядок (2),"Відомості про вигодонабувача: 1 - юридична особа, 2 - фізична особа, 3 - індивідуальний підприємець"
BANKNAMECODE, М, Рядок (35), Банківський ідентифікаційний код (БИК)
BANKINTID, М, Рядок (70), Міжнародний код банку
PERFORMERBANKNAME, М, Рядок (70), Найменування банку
IBLN, М, Рядок (35), IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
COUNTRYNAME, М, Рядок (2), Код країни банку
CORRACCOUNT, М, Рядок (70), Кореспондентський рахунок банку
FINBENEFICIARY, М, Рядок (35), Кінцевий бенефіціар (Кінцевий одержувач коштів)
REGCAPITAL, М, Рядок (35), Зареєстрований статутний капітал
VALUECAPITAL, М, Рядок (35), Величина статутного фонду
PAIDCAPITAL, М, Рядок (35), Сплачений статутний капітал
REGDATE, М, Дата (РРРР-ММ-ДД), Дата державної реєстрації
REGNUMBER, М, Рядок (35), Номер державної реєстрації
NOTIFNAME, М, Рядок (35), Найменування реєструючого органу
REGPLACE, М, Рядок (35), Місце реєстрації
**LICENSE**,,, Ліцензія (початок блоку)
LISTYPE, М, Рядок (2),"Тип ліцензії:
IP - ліцензія на імпорт,
TL - звільнення від податків, EX - ліцензія на експорт,
AV - інша "
LICNUM, М, Рядок (35), Номер ліцензії
LICTYPE, М, Рядок (35), Вид ліцензії
LICDATE, М, Дата (РРРР-ММ-ДД), Дата видачі ліцензії
LICREGNUM, М, Рядок (35), Реєстраційний номер
LICSTART, М, Дата (РРРР-ММ-ДД), Дата початку дії ліцензії
LICEND, М, Дата (РРРР-ММ-ДД), Дата закінчення дії ліцензії
LICGIVEN, М, Рядок (70), Ким видано ліцензію
**LICENSE**,,, Ліцензія (закінчення блоку)
**COMPANIES**,,, Адреса компанії (закінчення блоку)
**COMPANIES**,,, Адреса компанії (початок блоку)
PARTYQUALIFIER, М, Рядок (2),"Адреса компанії:
СО - юридична, SU - фізична"
STREET, М, Рядок (35), Вулиця
BUILDING, М, Рядок (8), Номер будівлі
SECONDBUILDING, О, Рядок (8), Номер другої будівлі (якщо компанія займає кілька будівель)
FLATNUMBER, М, Рядок (8), Номер квартири або офісу
CITY, М, Рядок (35), Місто
ZIPCODE, М, Рядок (16), Індекс
**COMPANIES**,,, Адреса компанії (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**PARTIN**,,, Закінчення документа
