Назва поля, Тип, Формат, Опис
**PRODUCTLIST**, M,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
CONTRACTNUMBER, M, Рядок (20), Номер контракту
CONTRACTDESCRIPTION, O, Рядок (70), Опис контракту
CONTRACTEXPIRYDATE, M, Дата (РРРР-ММ-ДД), Дата закінчення дії контракту
CONTRACTGLN, M, Число (13), GLN контракту
CAMPAIGNNUMBER, M, Рядок (20), Номер договору
CAMPAIGNDATE, M, Дата (РРРР-ММ-ДД), Дата договору
REVIEWDEADLINE, О, Число (3), Термін подачі на розгляд
AGREEMENTNUMBER, О, Число (3), Допустима кількість погоджень
DISCOUNTWORKSTATUS, M,"0,1","Робота з ціною зі знижкою: 0 - ні, 1 - так"
PROLONGATIONCONTRACT, O, Число,"Автоматична пролонгація контракту. Можна вибрати зі значень 1 або 0. При зазначеному значенні 1 постачальник при формуванні док-та AGREEM на підставі PRODUCTLIST може вказати в тезі DOCENDDATE будь-яку дату. При зазначеному значенні 0 дата в тезі DOCENDDATE не повинна перевищувати дату закінчення дії контракту (тег CONTRACTEXPIRYDATE). "
REGIONID, О, Рядок (100), Код регіону
**HEAD**, M,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN продавця
RECIPIENT, M, Число (13), GLN одержувача
SENDER, M, Число (13), GLN відправника
**POSITION**, М,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
ACTION, O,"Число (4,2)","Можливі значення: 4 - видалення товарної позиції, 2 - введення товарної позиції (новинка); при вказаному значенні 2 позиція в товарному довіднику підсвічується червоним і на неї можна створити COMDOC 008. "
PRODUCT, M,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDBUYER, M, Рядок (15), Внутрішній номер в БД
DESCRIPTION, M, Рядок (255), Опис продукту
UCCFEA, M, Число (4-10), Код УКТ ЗЕД
DISCOUNTPRICE, O, Число десяткове (10), Ціна зі знижкою без ПДВ
DISCOUNTPRICEWITHVAT, О, Число десяткове (10), Ціна зі знижкою з ПДВ
DISCOUNTDATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії ціни зі знижкою
DISCOUNTDATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії ціни зі знижкою
PRICE, M, Число десяткове (10), Ціна без ПДВ
PRICEWITHVAT, O, Число десяткове (10), Ціна з ПДВ
PRICEDATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії ціни
PRICEDATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії ціни
PROMO, O, Число десяткове, Промо ціна без ПДВ
PROMOWITHVAT, O, Число десяткове, Промо ціна з ПДВ
PROMODATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії промо ціни
PROMODATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії промо ціни
PROMOQUANTITY, O, Число, кількість товару
VAT, M,"Число десяткове (20, 7, 0)","Ставка ПДВ,%"
UNIT, M, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**PRODUCTLIST**,,, Закінчення документа
