Назва поля, Тип, Формат, Опис
**QUOTES**,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Очікувана дата доставки
DELIVERYTIME, О, Час (год: хв), Очікуваний час доставки
ORDERNUMBER, М, Рядок (50), Номер замовлення на поставку
ORDERDATE, М, Дата (РРРР-ММ-ДД), Дата замовлення на поставку
DESADVNUMBER, М, Рядок (16), Номер повідомлення про відвантаження
DESADVDATE, М, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
DELIVERYNOTENUMBER, М, Рядок (16), Номер накладної
DELIVERYNOTEDATE, М, Дата (РРРР-ММ-ДД), Дата накладної
CAMPAIGNNUMBER, О, Рядок (70), Номер договору на поставку (контракту)
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
BUYER, М, Число (13), GLN покупця
DELIVERYPLACE, М, Число (13), GLN місця доставки
SENDER, М, Число (13), GLN відправника повідомлення
RECIPIENT, М, Число (13), GLN одержувача повідомлення
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, М, Число позитивне, Номер ієрархії упаковки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCT, М, "Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
DELIVEREDQUANTITY, М, Число позитивне,"Кількість, що поставляється"
DELIVEREDUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
ORDEREDQUANTITY, О, Число позитивне, Замовлена ​​кількість
ORDERUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
CUSTOMSTARIFFNUMBER, О, Рядок (30), Номер державної митної декларації (ВМД)
PRICE, О, Число десяткове, Ціна продукту без ПДВ
PRICEWITHVAT, О, Число десяткове, Ціна продукту з ПДВ
DESCRIPTION, О, Рядок (70), Опис продукту
**BATCHNUMBERS**,,, Список серійних номерів (початок блоку)
BATCHNUMBER, М, Рядок (150), Серійний номер позиції (обмеження в 150 символів)
**BATCHNUMBERS**,,, Список серійних номерів (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**QUOTES**,,, Закінчення документа
