Назва поля, Тип, Формат, Опис
**RECADV**,,, Початок документа
NUMBER, М, Рядок (16), Номер повідомлення про прийом
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
ACTION,,, Дія
EXCHANGE_SCHEMA_TYPE, O,, "лише для Фоззі: схема документообігу: 0-звичайна, 1-особлива"
RECEPTIONDATE, М, Дата (РРРР-ММ-ДД), Дата прийому товару
RECEPTIONTIME, O, Час (год: хв), Час прийому товару
ORDERNUMBER, О, Рядок (50), Номер замовлення
ORDERDATE, О, Дата (РРРР-ММ-ДД), Дата замовлення
DESADVNUMBER, М, Рядок (16), Номер повідомлення про відвантаження
DESADVDATE, О, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
DELIVERYNOTENUMBER, О, Рядок (16), Номер накладної
DELIVERYNOTEDATE, O, Дата (РРРР-ММ-ДД), Дата накладної
CAMPAIGNNUMBER, О, Рядок (16), Номер договору на поставку
DOCTYPE, О, Рядок (1),"Тип документа: O - оригінал, R - заміна, D - видалення"
SUPPLIERORDENUMBER, O, Рядок (35), Номер замовлення в обліковій системі постачальника
SUPPLIERORDERDATE, O, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
TRANSPORTID, O, Число позитивне, Номер транспортного засобу
TOTALPACKAGES, O, Число десяткове, Загальна кількість упаковок
SUPORDER, O, Рядок (35), Номер замовлення постачальника
KDKNUM, O, Рядок (35), Номер загального замовлення КДК
ORDRTYPE, O, Рядок (35), Тип замовлення
INFO, O, Число (13), Додаткова інформація
BUYERACTNUMBER,,, Номер документа (акта) покупця
GOODSTOTALAMOUNT, М, Число десяткове, Всього без ПДВ
INVOICETOTALAMOUNT, М, Число десяткове, Сума за рахунком
TOTALVAT, O, Число позитивне, Загальна ставка ПДВ
TOTALAMOUNT, O, Число позитивне, Сума по документу без ПДВ
TOTALAMOUNTWITHVAT, O, Число позитивне, Сума по документу з ПДВ
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
SUPPLIERNAME, O, Рядок (70), Ім'я постачальника
BUYER, М, Число (13), GLN покупця
BUYERCODE, O, Рядок (35), Код покупця
DELIVERYPLACE, М, Число (13), GLN місця доставки
FINALRECIPIENT, O, Число (13), GLN кінцевого отримувача
LOGISTICPARTNER, O, Число (13), GLN перевізника
SENDER, О, Число (13), GLN відправника
SENDERNAME, O, Рядок (70), Ім'я відправника
SENDERPHONE, O, Рядок (35), Телефон відправника
SENDERCITY, O, Рядок (70), Місто відправника
SENDERADRESS, O, Рядок (70), Адреса відправника
RECIPIENT, М, Число (13), GLN одержувача
RECIPIENTCODE, О, Рядок (35), Код отримувача
RECIPIENTNAME, O, Рядок (70), Ім'я одержувача
RECIPIENTCONTACTFACE, O, Рядок (70), Контактна особа
RECIPIENTPHONE, O, Рядок (35), Телефон одержувача
RECIPIENTCITY, O, Рядок (35), Місто одержувача
RECIPIENTADRESS, O, Рядок (70), Адреса одержувача
INVOICEPARTNER, O, Число (13), GLN платника
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, М, Число позитивне, Номер ієрархії упаковки
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCT, М,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
BUYERPARTNUMBER, О, Рядок (16), Внутрішній системний номер артикулу в БД покупця
ACCEPTEDQUANTITY, М, Число позитивне, Прийнята кількість товару
ACCEPTEDUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
DELIVERQUANTITY, М, Число позитивне,"Кількість товару, що поставляється"
ORDERQUANTITY, М, Число позитивне, Замовлена кількість товару
DELTAQUANTITY, O, Число позитивне, Розбіжність
PRICE, O, Число десяткове, Ціна однієї одиниці продукції без ПДВ
PRICEWITHVAT, O, Число десяткове, Ціна однієї одиниці продукції з ПДВ
AMOUNT, O, Число десяткове, Сума товару (без ПДВ)
AMOUNTWITHVAT, O, Число десяткове, Сума товару (з ПДВ)
CONDITIONSTATUS, О, Рядок (3), Статус кондиції
DESCRIPTION, О, Рядок (70), Опис продукту
PACKAGEID, O, Число позитивне, Ідентифікатор упаковки
VAT, O, Число позитивне, Ставка ПДВ (%)
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**RECADV**,,, Закінчення документа
