Назва поля, Тип, Формат, Опис
**RETANN**,,, Початок документа
NUMBER, M, Рядок (16), Номер документа
ACTION, О, Число позитивне, "9 - оригінал документа, 5 - заміна документа"
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
ORDERNUMBER, O, Рядок (16), Номер замовлення
ORDERDATE, O, Дата (РРРР-ММ-ДД), Дата замовлення
DESADVNUMBER, O, Рядок (16), Номер повідомлення про відвантаження
DESADVDATE, O, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
RECADVNUMBER, O, Рядок (16), Номер повідомлення про прийом
RECADVDATE, O, Дата (РРРР-ММ-ДД), Дата повідомлення про прийом
REQUESTNUMBER,,, Номер запиту
REQUESTDATE, O, Дата (РРРР-ММ-ДД), Дата запиту
RETURNDATE, O, Дата (РРРР-ММ-ДД), Дата повернення (відвантаження постачальнику)
RETURNNOTENUMBER, O, Рядок (16), Номер накладної на повернення
RETURNNOTEDATE, O, Дата (РРРР-ММ-ДД), Дата накладної на повернення
RETURNTYPE, O, Рядок (70), Причина повернення товару
CAMPAIGNNUMBER, O, Рядок (16), Номер договору на поставку
INFO, O, Рядок (70), Додаткова інформація
VERSION, O, Рядок (70), Версія документа
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне, Номер позиції
PRODUCT, M, Число (13), Штрих-код продукту
PRODUCTIDSUPPLIER, O, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, O, Рядок (16), Артикул в БД покупця
RETURNQUANTITY, M, Число десяткове, Повернена кількість
RETURNQUANTITYUNIT, O, Рядок (3), Одиниця виміру
DELIVEREDQUANTITY, O, Число десяткове, Доставлена кількість
DELIVEREDQUANTITYUNIT, O, Рядок (3), Одиниця виміру
PRICE, O, Число десяткове, Ціна
PRICEWITHVAT, О, Число десяткове, Ціна з ПДВ
TAXRATE, О, Число (3), "Ставка податку (ПДВ,%)"
AMOUNT, O, Число десяткове, Сума
CURRENCY, O, Рядок (3), Код валюти
DESNUMBER, O, Рядок (20), Номер повідомлення про відвантаження
DESDATE, O, Дата (РРРР-ММ-ДД), Дата повідомлення про відвантаження
DESCRIPTION, O, Рядок (70), Опис продукту
AMOUNTWITHVAT, О, Рядок (16), Вартість позиції з ПДВ
BATCHNUMBER, О, Рядок (70), Серійний номер позиції
**ACTION**,,, Дії (початок блоку)
CODE, O, Число (3), "Код дії:
4 - пошкодження,
15 - товар застарів,
12E - товар буде повернений,
14E - товар буде знищений, 15E - товар повинен бути відновлений / відремонтований "
DESCRIPTION, O, Рядок (70), Опис причини (пошкодження)
**ACTION**,,, Дії (закінчення блоку)
VAT, O, Число позитивне, "Ставка ПДВ,%"
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
WEIGHT, O, Число десяткове, Вага
WEIGHTUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**RETANN**,,, Закінчення документа
