Назва поля, Тип, Формат, Опис
**SLSRPT**,,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
CAMPAIGNNUMBER, O, Рядок (35), Номер продавця в обліковій системі замовника
TIME, О, Час (год: хв), Час складання документа
**SALESPERIOD**,,, Період продажів (початок блоку)
FROMDATE, M, Дата (РРРР-ММ-ДД), Дата продажів з
FROMTIME, О, Час (год: хв), Час продажів з
TODATE, О, Дата (РРРР-ММ-ДД), Дата продажів по
TOTIME, О, Час (год: хв), Дата продажів по
**SALESPERIOD**,,, Період продажів (закінчення блоку)
**SALESADMINISTRATOR**,,, Контакти адміністратора (початок блоку)
NAME, O, Рядок (70), Ім'я
TELEPHON, O, Рядок (70), Телефон
FAX, O, Рядок (70), Факс
EMAIL, O, Рядок (70), Електронна пошта
**SALESADMINISTRATOR**,,, Контакти адміністратора (закінчення блоку)
CURRENCY, M, Рядок (3), Код валюти
SLSRPTTOTALAMOUNT, О, Рядок (70), Всього без ПДВ
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
**PLACE**,,, Логістика (початок блоку)
PLACENUMBER, M, Число позитивне, Номер місця продажу
PLACE, M, Число (13), GLN місця продажу
VENDORCODE, О, Рядок (35), Код виробника
PARTNERCODE, О, Рядок (35), Код партнера
CUSTOMERNAME, О, Рядок (70), Ім'я покупця
CUSTOMERCITY, О, Рядок (35), Місто покупця
COUNTRYCODE, О, Рядок (2), Двозначний код країни
SENDERMAIL, О, Рядок (70), Електронна пошта
CUSTOMERTOTALAMOUNT, О, Рядок (70), Всього без ПДВ
**SALESPERIOD**,,, Період продажів (початок блоку)
FROMDATE, O, Дата (РРРР-ММ-ДД), Дата продажів з
FROMTIME, O, Час (год: хв), Час продажів з
TODATE, O, Дата (РРРР-ММ-ДД), Дата продажів по
TOTIME, O, Час (год: хв), Дата продажів по
**SALESPERIOD**,,, Період продажів (закінчення блоку)
**POSITION**,,, Товарні позиції (початок блоку)
PRODUCTNUMBER, M, Число позитивне, Номер позиції
PRODUCT, M, "Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, O, Рядок (35), Артикул в БД постачальника
PRODUCTIDBUYER, O, Рядок (35), Артикул в БД покупця
PRODUCTIDMDLS, O, Рядок (35), Артикул в БД складу
PRODUCTNAME, O, Рядок (70), Опис продукту
PRICELISTNUMBER, O, Рядок (35), Номер прайс-листа
AMOUNT, O, Число десяткове, Сума проданого товару
PRICE, M, Число десяткове, Ціна продукту
SOLDQUANTITY, M, Число позитивне, Продана кількість
DEALCODE,,,
INVOICENUMBER, O, Рядок (16), Номер рахунку
INVOICEDATE, O, Дата (РРРР-ММ-ДД), Дата рахунку
SHIPMENTDATE, O, Дата (РРРР-ММ-ДД), Дата відвантаження
RETURNEDQUANTITY, O, Число позитивне, Повернена кількість
**POSITION**,,, Товарні позиції (закінчення блоку)
**PLACE**,,, Логістика (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**SLSRPT**,,, Закінчення документа
