Параметр, Формат, Опис
.. _Company:, Об'єкт **Company**,
id, long, id компанії; число
**account**, Account_, об'єкт; дані аккаунта
name, String, повне найменування організації або ПІБ індивідуального підприємця
ownership, String, "форма власності; рядок 5 символів; jur - Юридична особа, fiz - Фізична особа"
edrpou, String, код ЄДРПОУ/КПП; рядок 50 символів
inn, String, код ІПН; рядок 50 символів
mail, String, пошта
phone, String, № телефону; рядок 50 символів
ndsNumber, String, № свідоцтва ПДВ; рядок 50 символів
bankAccount, String, розрахунковий рахунок банку; рядок 50 символів
bankName, String, назва банку; рядок 100 символів
bankMfo, String, "МФО банку, код-реквізит банку"
bankAddress, String, адреса банку; рядок 150 символів
**users**, List<User_>, масив об'єктів;
