Параметр,Формат,Опис
.. _TariffProduct: ,Об'єкт **TariffProduct**,
id,long,ідентифікатор продукта
name,String,назва продукта
type,int,"тарифна модель; 0 - стара, 1 - нова"
period,int,"мінімальний період доступний для вибору:

* 1 - місяць
* 4 - рік
* 5 - одноразово
* 6 - без періоду (продукт доступний лише для дії *Замовити*)"
multiplier,boolean,"можливість замовлення кількох послуг (наявність вказує на послугу, що може продаватись поштучно)"
sortPosition,int,порядковий номер продукта
description,String,опис продукта
hasOptions,boolean,наявність додаткових опцій в тарифному пакеті
onlyOneTariffByMonth,boolean,доступність лише одного тарифу на місяць
extraTariff,boolean,можливість придбання додаткового тарифу в поточному місяці
billingCountType,int,"тип білінгу:

* 0 - в рамках сервісу контроль трафіка не потрібен
* 1 - підрахунок EDI транзакцій
* 2 - підрахунок ЮЗД транзакцій"
shortName,String,коротка назва продукту
tariffs,List<Tariff_>,масив об'єктів; дані тарифник пакетів
