Параметр,Формат,Опис
.. _User: , Об'єкт **User**,
id,long,id користувача; число
accountId,long,id аккаунта
login,String,логін користувача; рядок 50 символів
stringEmails,String,E-mail; рядок 255 символів
emails,List<String>,масив адрес E-mail
blocked,int,"відмітка про блокування; число; 0 - немає, 1 - так"
allowFTP,int,"відмітка доступу до FTP; число; 0 - немає, 1 - так"
autoSending,boolean,"автоотправка; число; 0 - Ні, 1 - Так (документи автоматично відправляються при перенесенні документа для відправки в папку outbox)"
statusFile,int,"створення статус-файлів; число; 0 - Ні, 1 - Так, 2 - Так, про доставку, 3 - Так, про прочитання"
isAdmin,boolean,"відмітка, чи є користувач адміністратором в управлінні користувачами; число; 0 - немає, 1 - так"
