Параметр,Тип [1]_,Формат,Опис
.. _XDocApprovalScenario: ,,**Об'єкт XDocApprovalScenario** ,
id,,long,id сценарію
actual,O,boolean,"актуальність

* true - актуальний
* false - архівний

actual=false - передається для видалення сценарію"
userId,,long,id користувача
docType,O,int,"тип документа для автопогодження:

* 28 - COMDOC:
   * Акт наданих послуг (COMDOC_018)
   * Акт виконаних робіт (COMDOC_013)
   * Акт взаємозаліку (COMDOC_015)
   * Рахунок-фактура (COMDOC_016)
   * Акт звірки зведений (COMDOC_029)
   * Претензія (COMDOC_030)
   * Акт наданих послуг (Логістика) (COMDOC_037)
* 118 - Акт приймання наданих послуг (DOCINVOICEACT)
* 115 - Повідомлення про штрафні санкції (ORDRPT)"
auto,O,boolean,автоматичний запуск погодження
name,M,String,назва сценарію
subDocTypes,O,List<Integer>,"масив чисел; підтип COMDOC документа для автопогодження:

* 18 - Акт наданих послуг (COMDOC_018)
* 13 - Акт виконаних робіт (COMDOC_013)
* 15 - Акт взаємозаліку (COMDOC_015)
* 16 - Рахунок-фактура (COMDOC_016)
* 29 - Акт звірки зведений (COMDOC_029)
* 30 - Претензія (COMDOC_030)
* 37 - Акт наданих послуг (Логістика) (COMDOC_037)"
partners,O,List<String>,"масив значень; перелік GLN контрагентів, за якими буде запускатись автопогодження"
documentSumMin,O,double,ВІД якої суми документа (з ПДВ) буде запускатись автопогодження
documentSumMax,O,double,ДО якої суми документа (з ПДВ) буде запускатись автопогодження
**steps**,M,"<Integer, List<XDocApprovalStep_>>",об'єкт з пронумерованими масивами об'єктів; тіло сценарію (кроки погодження документів)
