Параметр,Формат,Опис
.. _XDocAttachment: ,**Об'єкт XDocAttachment** ,
id,long,id вкладення
docUUID,UUID,унікальний ідентифікатор документа
attachmentUUID,UUID,унікальний ідентифікатор вкладення документа
fileName,String,найменування файлу
createDate,long,дата створення вкладення; формат unix timestamp
type,String,тип вкладення
base64content,String,зміст вкладення в BASE64
content,byte[],зміст вкладення в цілочисельному вигляді
signs,List<XDocAttachmentSign_>,масив об'єктів; підписи вкладень (файлів)
signHash,String,хеш тіла вкладення (в base64) для формування підпису
