id параметра, Найменування параметра,Обов'язкове / необов'язкове поле, Формат, Опис параметра
1, created_from ,, UUID, ідентифікатор документа або ланцюжка
2, is_signed ,, TINYINT,"відмітка про підписання;

* 0 - без підпису;
* 1 - підписано"
3, encrypted ,, TINYINT, відмітка про шифрування
4, comdoc_reestr_id ,, INT, id факторингового Реєстру на підставі комерційного документа
5, comdoc_reestr_is_active ,, TINYINT, відмітка про активність факторингового договору
6, ftpex_file_name ,, VARCHAR, "найменування файлу, відправленого по FTP"
7, ftpex_file_date ,, INT, дата/час відправки документа по FTP
8, inv_date ,, INT, дата документа invrpt (Звіт про інвентаризацію)
9, inv_num ,, VARCHAR, номер документа invrpt (Звіт про інвентаризацію)
10, error_code ,, INT, код помилки документообігу
11, sub_doc_type_id ,, INT, id підтипу документа ( опис_підтипів_ )
12, sub_status_id ,, INT, id статусу документа (`детальніше <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/Ticket_exchange_status.html>`__); характеризує стан ланцюжка документів 
13, action ,, VARCHAR, "статус/стан документа за здійсненими діями користувача;

Для EDI:

    ORDER (тип документа):

    * 0 - оригінал (O)
    * 1 - заміна (R)
    * 2 - видалення (D)
    * 3 - фіктивність замовлення (F)

    RETANN:

    * 1 - документ RETANN відправлено
    * 2 - у відповідь відправлено RETINS

    PRICAT (тип документа):

    * 9 - прайс-лист (повний)
    * 13 - запит прайс-листа EDIN
    * 15 - для сервісу EDIN Distribution
    * 19 - запит прайс-листа EDIN 2.0
    * 51 - відповідь на прайс-лист
    * 21 - доповнення існуючого прайс-листа
    * 99 - відмова на прайс-лист

    COACSU (тип документа):

    * 49E - оригінал документа
    * 397 - документ у відповідь

    CONDRA:

    * 1 - відправлено
    * 2 - прийнято іншою стороною
    * 3 - відхилено іншою стороною
    * 4 - відкликано відправником

Для Вільний:

* 0 - Очікує на підпис одержувача
* 1 - Частково підписано (для Відправника)
* 1 - Очікує на підпис одержувача (для Отримувача)
* 1 - Підписано (для Отримувача, якщо в документі присутній параметр is_signed = 1)
* 2 - Підписано
* 3 - Відхилено отримувачем
* 4 - Відхилено відправником
* 5 - Завершено
* Копія - sub_status_id = 1

Для ЕТТН:

* 101 - документ без помилок (статус);
* 102 - документ з помилками (статус)"
14, buyer_uuid ,, VARCHAR, відправник документа
15, consignee_uuid ,, VARCHAR, вантажоодержувач
16, consignor_uuid ,, VARCHAR, вантажовідправник
17, customer_uuid ,, VARCHAR, покупець
18, performer_uuid ,, VARCHAR, виконавець
19, supplier_uuid ,, VARCHAR, постачальник
20, delivery_place_uuid ,, VARCHAR, місце доставки
21, contract_date ,, VARCHAR, дата договору
22, contract_number ,, VARCHAR, номер договору
23, delivery_date, О, INT, дата доставки
24, order_number, О, VARCHAR, номер замовлення
25, order_date ,, INT, дата замовлення
26, return_date ,, INT, дата повернення
27, summ ,, VARCHAR, сума з ПДВ
28, parent_chain_hash ,, MD5, хеш ланцюжка
29, period ,, VARCHAR, крайня дата підпису документа
31, trans_id ,, VARCHAR, id транзакції
32, ttn ,, VARCHAR, номер накладної
33, doc_start_date ,, VARCHAR, початок терміну підписання документа
34, doc_end_date ,, VARCHAR, закінчення терміну підписання документа
