**Код відповіді**,**Індекс помилки**,**Текст помилки**,**Опис**
400,ERR_EDI-1,"Validation document errors: [%s]

Документ містить помилки: [%s]","Помилка при перевірці обовязкових тегів в xml - в дужках перелік незаповнених/некоректно заповнених полів"
400,ERR_EDI-2,"XSD Validation document error: [%s]

Помилка валідації документа за XSD: [%s]","Помилка при валідації по xsd - в дужках вказується конктретна причина помилки"
400,ERR_EDI-3,"Business logic validation document errors: [%s]

Документ містить помилки згідно бізнес-логіки: [%s]","Помилка при перевірці обовязкових тегів в xml згідно бізнес-логіки - в дужках перелік незаповнених/ некоректно заповнених полів"
400,ERR_EDI-4,"Unknown or unsupported document type: [%s]

Невідомий або непідтримуваний тип документа: [%s]","Помилка виникає тільки в 1му випадку: при спробі відправити документ CONDRA методом create_and_send"
400,ERR_EDI-5,,"Помилка виникає при перевірці підпису, якщо позначка часу створена офлайн"
400,ERR_EDI-6,"Data should contain [%s] marker

Данні мають містити [%s] маркер","Помилка виникає при спробі дешифрування даних, якщо дані не містять крипто-заголовки (CERTCRYPT або UA1_CRYPT)"
400,ERR_EDI-7,"Data should be enveloped (crypted)

Дані повинні бути захищені (зашифровані)","Помилка виникає при спробі дешифрування даних, якщо дані не зашифровані"
400,ERR_EDI-8,"Decription failed - [%s]

Не вдалося розшифрувати - [%s]","Помилка виникає при спробі дешифрування даних, якщо при дешифруванні виникає помилка - в дужках причина"
400,ERR_EDI-9,"The data is not signed or contains an incorrect signature

Дані не підписані або містять некоректний підпис","Помилка виникає коли клієнт передав не підписані або не коректно підписані дані, коли вони мають бути підписані (наприклад, роут create_and_send при відправці p7s-ки, вказуючи content-type = application/pkcs7-signature)"
400,ERR_EDI-10,"You cannot send a document signed only with a seal

Ви не можете надіслати документ, підписаний тільки печаткою",
400,ERR_EDI-11,"GLN from request [%s] should match sender's GLN from body [%s]

GLN із запиту [%s] має збігатися з GLN відправника з тіла [%s]","Помилка виникає в create_and_send або роуті створення документа через API, коли є невідповідність GLN-ів, який був переданий в url-параметрі і GLN відправника в тілі документа"
