N,Назва тега,Опис тега,Опис налаштування
29,EDIN_Price_Includes_VAT,Цена включает НДС,Вказує як ведеться облік ціни по НДС в межах документу
30,EDIN_TR_R03G10S,Номер договора с перевозчиком,Використовується при формуванні заявки на транспортування
31,EDIN_TR_R03G11S,Дата договора с перевозчиком,Використовується при формуванні заявки на транспортування
32,EDIN_TR_T4RXXXXG23S,Дата загрузки,Використовується при формуванні заявки на транспортування
33,EDIN_TR_T4RXXXXG24S,Время загрузки,Використовується при формуванні заявки на транспортування
34,EDIN_TR_T4RXXXXG25S,Контактная особа для загрузки,Використовується при формуванні заявки на транспортування
35,EDIN_TR_T4RXXXXG26S,Контактный телефон для загрузки,Використовується при формуванні заявки на транспортування
36,EDIN_TR_T4RXXXXG33S,Дата розгрузки,Використовується при формуванні заявки на транспортування
37,EDIN_TR_T4RXXXXG34S,Время розгрузки,Використовується при формуванні заявки на транспортування
38,EDIN_TR_T4RXXXXG35S,Контактная особа для розгрузки,Використовується при формуванні заявки на транспортування
39,EDIN_TR_T4RXXXXG36S,Контактный телефон для розгрузки,Використовується при формуванні заявки на транспортування
,,,
Таблична частина,,,
10,EDIN_T1_Document_Quantity,Количество таб.части документа,Кількість позицій товару
11,EDIN_T1_Document_Price,Цена таб.части документа,"Ціна в рядку, може бути з ПДВ або без ПДВ"
12,EDIN_T1_Document_Amount,Сумма таб.части документа,"Сума в рядку, може бути з ПДВ або без ПДВ"
13,EDIN_T1_Document_Price_With_VAT,Цена с НДС таб.части документа,Значення обов'язково містить ціну позиції з ПДВ
14,EDIN_T1_Document_Amount_WithOut_VAT,Сумма без НДС таб.части документа,Значення обов'язково містить суму позиції без ПДВ
15,EDIN_T1_VAT_Amount,Сумма НДС,Сума ПДВ товару в рядку
16,EDIN_T1_VAT_Rate,Ставка НДС,Ставка ПДВ позицій товару
17,EDIN_T1_VAT_Percent,Процент НДС,Відсоток ПДВ позицій товару
